Date	Person	Block	Plot_Nr	Weed_species	%weeded	Comments
20200525	Anne	1	1	Dg	3	
20200525	Anne	1	1	Lp	1	
20200525	Anne	1	1	Pt	1	
20200525	Anne	1	1	Cj	55	
20200525	Anne	1	1	To	5	
20200525	Anne	1	1	Sp	35	
20200525	Anne	1	1	bg	2	
20200525	Anne	1	1	legume	0	
20200525	Anne	1	1	herb	0	
20200525	Anne	1	1	grass	0	
20200525	Anne	1	2	Hp	0	
20200525	Anne	1	2	Be	0	
20200525	Anne	1	2	Ao	0	
20200525	Anne	1	2	Dg	0	
20200525	Anne	1	2	Fr	0	
20200525	Anne	1	2	Hl	0	
20200525	Anne	1	2	Lp	6	
20200525	Anne	1	2	Pt	1	
20200525	Anne	1	2	Am	0	
20200525	Anne	1	2	Cj	0	
20200525	Anne	1	2	Cb	0	
20200525	Anne	1	2	To	1	
20200525	Anne	1	2	Dc	3	
20200525	Anne	1	2	Hs	0	
20200525	Anne	1	2	As	0	
20200525	Anne	1	2	Sp	0	
20200525	Anne	1	2	Pg	0	
20200525	Anne	1	2	Ra	0.5	
20200525	Anne	1	2	Pm	90	
20200525	Anne	1	2	Ga	0	
20200525	Anne	1	2	bg	0.5	
20200525	Anne	1	2	legume	0	
20200525	Anne	1	2	herb	0	
20200525	Anne	1	2	grass	0	
20200525	Anne	1	3	Hp	10	
20200525	Anne	1	3	Be	10	
20200525	Anne	1	3	Ao	1	
20200525	Anne	1	3	Dg	0	
20200525	Anne	1	3	Fr	0	
20200525	Anne	1	3	Hl	0	
20200525	Anne	1	3	Lp	5	
20200525	Anne	1	3	Pt	1	
20200525	Anne	1	3	Am	0	
20200525	Anne	1	3	Cj	45	
20200525	Anne	1	3	Cb	30	
20200525	Anne	1	3	To	5	
20200525	Anne	1	3	Dc	0.5	
20200525	Anne	1	3	Hs	0	
20200525	Anne	1	3	As	0	
20200525	Anne	1	3	Sp	0	
20200525	Anne	1	3	Pg	0	
20200525	Anne	1	3	Ra	1	
20200525	Anne	1	3	Pm	1	
20200525	Anne	1	3	Ga	0	
20200525	Anne	1	3	bg	3	
20200525	Anne	1	3	legume	0	
20200525	Anne	1	3	herb	0	
20200525	Anne	1	3	grass	0	
20200525	Anne	1	4	Dg	95	
20200525	Anne	1	4	bg	5	
20200525	Anne	1	4	legume	1	
20200525	Anne	1	4	herb	0	
20200525	Anne	1	4	grass	1	
20200525	Anne	1	5	Hp	40	
20200525	Anne	1	5	Ao	0	
20200525	Anne	1	5	Dg	35	
20200525	Anne	1	5	Pt	2	
20200525	Anne	1	5	To	5	
20200525	Anne	1	5	Sp	2	
20200525	Anne	1	5	Ra	0	
20200525	Anne	1	5	Pm	2	
20200525	Anne	1	5	bg	5	
20200525	Anne	1	5	legume	0	
20200525	Anne	1	5	herb	0	
20200525	Anne	1	5	grass	0	
20200525	Anne	1	6	Pm	92	
20200525	Anne	1	6	bg	2	
20200525	Anne	1	6	legume	0.5	
20200525	Anne	1	6	herb	0	
20200525	Anne	1	6	grass	0.5	
20200525	Anne	1	7	Dg	45	
20200525	Anne	1	7	Hl	50	
20200525	Anne	1	7	Pt	5	
20200525	Anne	1	7	To	2	
20200525	Anne	1	7	Dc	1	
20200525	Anne	1	7	Hs	0	
20200525	Anne	1	7	bg	2	
20200525	Anne	1	7	legume	0	
20200525	Anne	1	7	herb	0	
20200525	Anne	1	7	grass	0	
20200525	Anne	1	8	Ao	6	
20200525	Anne	1	8	bg	25	
20200525	Anne	1	8	legume	1	
20200525	Anne	1	8	herb	70	
20200525	Anne	1	8	grass	0.5	
20200525	Anne	1	9	Dg	10	
20200525	Anne	1	9	Lp	60	
20200525	Anne	1	9	Pt	3	
20200525	Anne	1	9	Cj	3	
20200525	Anne	1	9	Cb	1	
20200525	Anne	1	9	To	15	
20200525	Anne	1	9	Dc	1	
