Date	Person	Block	Plot_Nr	VIP_(1)	Species	original_species_in_non_VIP	%weeded	Comments
20200727	Cecile	1	1	1	Dg		5	
20200727	Cecile	1	1	1	Cj		70	
20200727	Cecile	1	1	1	To		0	
20200727	Cecile	1	1	1	Sp		25	
20200727	Cecile	1	2	0	Hp		0	
20200727	Cecile	1	2	0	Be		0	
20200727	Cecile	1	2	0	Ao		0	
20200727	Cecile	1	2	0	Dg		0	
20200727	Cecile	1	2	0	Fr		0	
20200727	Cecile	1	2	0	Hl		0.5	
20200727	Cecile	1	2	0	Lp	1	2	
20200727	Cecile	1	2	0	Pt		1	
20200727	Cecile	1	2	0	Am		0	
20200727	Cecile	1	2	0	Cj		0	
20200727	Cecile	1	2	0	Cb		0	
20200727	Cecile	1	2	0	To	1	0	
20200727	Cecile	1	2	0	Dc	1	3	
20200727	Cecile	1	2	0	Hs		0	
20200727	Cecile	1	2	0	As		0	
20200727	Cecile	1	2	0	Sp		2	
20200727	Cecile	1	2	0	Pg		0	
20200727	Cecile	1	2	0	Ra		0	
20200727	Cecile	1	2	0	Pt	1	80	
20200727	Cecile	1	2	0	Ga		0	
20200727	Cecile	1	3	0	Hp	1	15	
20200727	Cecile	1	3	0	Be	1	10	
20200727	Cecile	1	3	0	Ao	1	0	
20200727	Cecile	1	3	0	Dg		0	
20200727	Cecile	1	3	0	Fr		0	
20200727	Cecile	1	3	0	Hl	1	0	
20200727	Cecile	1	3	0	Lp	1	0	
20200727	Cecile	1	3	0	Pt		0	
20200727	Cecile	1	3	0	Am		0	
20200727	Cecile	1	3	0	Cj	1	40	
20200727	Cecile	1	3	0	Cb	1	65	
20200727	Cecile	1	3	0	To	1	3	
20200727	Cecile	1	3	0	Dc		0	
20200727	Cecile	1	3	0	Hs		0	
20200727	Cecile	1	3	0	As		0	
20200727	Cecile	1	3	0	Sp		0	
20200727	Cecile	1	3	0	Pg		0	
20200727	Cecile	1	3	0	Ra		0	
20200727	Cecile	1	3	0	Pm		0	
20200727	Cecile	1	3	0	Ga		0	
20200727	Cecile	1	4	1	Dg		97	
20200727	Cecile	1	5	0	Hp	1	35	
20200727	Cecile	1	5	0	Be		0	
20200727	Cecile	1	5	0	Ao	1	0	
20200727	Cecile	1	5	0	Dg	1	40	
20200727	Cecile	1	5	0	Fr		0	
20200727	Cecile	1	5	0	Hl		0	
20200727	Cecile	1	5	0	Lp		0	
20200727	Cecile	1	5	0	Pt		0	
20200727	Cecile	1	5	0	Am		0	
20200727	Cecile	1	5	0	Cj		0	
20200727	Cecile	1	5	0	Cb		0	
20200727	Cecile	1	5	0	To		10	
20200727	Cecile	1	5	0	Dc		0	
20200727	Cecile	1	5	0	Hs		0	
20200727	Cecile	1	5	0	As		0	
20200727	Cecile	1	5	0	Sp		2	
20200727	Cecile	1	5	0	Pg		0	
20200727	Cecile	1	5	0	Ra	1	0	
20200727	Cecile	1	5	0	Pm		5	
20200727	Cecile	1	5	0	Ga		0.5	
20200727	Cecile	1	6	1	Pm		96	
20200727	Cecile	1	7	0	Hp		0	
20200727	Cecile	1	7	0	Be		0	
20200727	Cecile	1	7	0	Ao		0	
20200727	Cecile	1	7	0	Dg	1	40	
20200727	Cecile	1	7	0	Fr		0	
20200727	Cecile	1	7	0	Hl	1	50	
20200727	Cecile	1	7	0	Lp		0	
20200727	Cecile	1	7	0	Pt	1	2	
20200727	Cecile	1	7	0	Am		0	
20200727	Cecile	1	7	0	Cj		0	
20200727	Cecile	1	7	0	Cb		0	
20200727	Cecile	1	7	0	To		0	
20200727	Cecile	1	7	0	Dc		0	
20200727	Cecile	1	7	0	Hs	1	0	
20200727	Cecile	1	7	0	As		0	
20200727	Cecile	1	7	0	Sp		0	
20200727	Cecile	1	7	0	Pg		0	
20200727	Cecile	1	7	0	Ra		0	
20200727	Cecile	1	7	0	Pm		0	
20200727	Cecile	1	7	0	Ga		0	
20200727	Cecile	1	8	1	Ao		0	
20200727	Cecile	1	9	0	Hp		0	
20200727	Cecile	1	9	0	Be		0	
20200727	Cecile	1	9	0	Ao		0	
20200727	Cecile	1	9	0	Dg	1	15	
20200727	Cecile	1	9	0	Fr		0	
20200727	Cecile	1	9	0	Hl		0	
20200727	Cecile	1	9	0	Lp	1	35	
20200727	Cecile	1	9	0	Pt		0	
20200727	Cecile	1	9	0	Am		0	
20200727	Cecile	1	9	0	Cj		0.5	
20200727	Cecile	1	9	0	Cb		0	
20200727	Cecile	1	9	0	To	1	15	
20200727	Cecile	1	9	0	Dc		0	
