"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	1.13217184943017	3.56006544602709	10.5179028324324	6.00042769951888	2.50329593386746	2.03372982821614	3.08282205546306	2.08817502713945	1.18511679618916	1.48721761375361	1.65250993238219	2.26241485455844	2.11284714419193	1.42254743562473	1.94434709175217	30.4699894768973	1.1913641291133	2.31691047971489
"Be"	3.69439877187741	1.38112429067993	1.84111697487962	2.9599662766506	5.36863703051254	1.68369524145988	1.46716012976914	3.86393200893137	1.1088763915182	1.45536860874247	2.47997203180438	4.67083847161691	3.72700856440448	0.974896277165529	1.51808766806698	49.0623125151084	1.09597748838084	1.90610076343846
"Ao"	1.7642665418255	3.25416927002636	1.0935424520326	2.72711718931081	3.08835636189876	1.91325968612112	3.26808090858638	1.81468397775125	0.93166248898652	1.13219306282565	1.48661727173145	2.04396968494454	3.18359454983082	1.08121631992841	1.81308954298141	14.5914844719968	0.848595404169075	2.83354236082576
"Dg"	2.22452192543928	2.31899965599959	14.7600913027857	1.07054133880639	3.11561488566411	1.50103331454303	3.40355938411696	4.83472707654079	1.20613948114959	1.1976732985506	1.6995609441381	2.93538028554283	1.61129781789495	1.21819086587505	2.14065743559272	38.1967585916034	0.997051847645808	1.6248177026549
"Fr"	2.30486655946283	3.72909702726778	3.55588721907416	2.60604440735202	1.63561416552087	3.93970703702337	5.2168584151959	5.43153165018498	1.1270967883004	1.49523480942858	1.50358245717973	3.36167279421127	7.30183524925231	1.39822923962447	1.16095856185884	66.7054925831116	1.36903057761752	3.22410883594969
"Hl"	1.5550203416428	6.95309374562759	4.98232783620635	1.72776107435756	4.00482340948648	0.677407198256797	1.2420362408339	3.8403290351399	0.582774410847217	0.918594707235391	0.937577265321683	1.26225096542698	3.98479218796821	0.891519354803453	3.07452043085294	11.3186405646165	0.646815795643925	1.4704491214846
"Lp"	1.51668260922843	3.23106410075101	5.01740203923553	2.37344124669411	4.78604083171864	1.81101513109676	1.40500894863979	1.92892753083978	0.975736332153926	0.91438295763382	1.73530346031009	3.17510456299827	3.05496098975819	0.906175196210875	1.69010634429506	12.0078318258393	1.21255653333134	1.93311865563731
"Pt"	3.36273163041571	3.62007351907378	7.38011823484859	4.07773170374906	3.33034033180703	2.27898452520066	1.66831430268008	1.05716172692008	1.892110594858	1.18681049879178	1.98986218769781	2.54593518558066	2.61607703340369	1.32380891900338	4.57390866981546	50.3427847864979	0.998839289821172	1.43713860079868
"Am"	1.66769098208412	3.26807424467977	7.61505162970904	2.96845393694273	6.72910817742819	1.56260286243442	3.47043206666464	6.60960300633304	0.672300525462781	1.25274457819409	1.91695622815726	3.14726850151501	130.569248690749	0.93012813092414	1.72141184522015	62.3413545427814	1.14132925465745	2.18687639786451
"Cj"	3.15729141746321	2.3379128134477	8.1088131820521	3.02335566688837	3.99702578682561	4.10427566308667	1.73453321273959	4.15190668208834	1.35028224265556	0.982402035462293	1.71699972351225	1.58569944879103	5.1644633663882	1.56066950742822	1.35952052024081	70.431861552436	1.0569474965866	1.95100840845874
"Cb"	2.24806895108804	3.9946127169377	10.3902223213303	2.19916084297235	6.21308812704183	1.49972556008991	2.56646648921149	5.73045401454444	1.53780715501537	2.05514848403659	0.872819410621219	2.16549520300469	5.08745655321258	1.53345689227639	1.65651277914288	27.2678455304399	1.30551106369803	1.91146697074881
"To"	3.17578872900999	7.3948237284752	6.17168069108371	3.10453165726793	8.18401833536075	2.56646152258246	2.08205765493302	2.67961374783866	1.62191608833899	1.73376912397538	3.88466813479551	2.39945209410271	9.47328827419094	1.33277085959332	1.81430871182251	10.6414176044197	1.45833276611322	2.57098137694467
"Dc"	2.6812254115433	4.68898528842317	8.68472167844154	3.82004079311413	5.08973848971942	1.95454819708603	2.16843125416923	4.79662885376521	1.22384964140612	1.50480018822941	1.5785842089813	3.55255566189688	2.10825554394918	1.25986749278143	1.79942224651122	26.1337252252595	1.21151409701531	2.4105438049338
"Sp"	4.22727625957542	12.059768070696	25.84106030006	3.6135078469073	7.3325064174295	4.18003203848261	3.60684494925048	6.04350331395446	2.61185242528386	2.81031627331598	2.17450885704434	6.56586964482193	2.28638769825762	1.9939191522659	4.30993049354269	63.4846108260153	1.94901476900826	4.58709710689963
"Pg"	3.18434673624738	10.88797445252	5.95797664643777	4.64305396256317	6.85480579653141	3.18158323290395	2.40539677084926	3.74080848899256	1.42856531749753	1.79752958113063	2.64463594389472	2.65555192753047	2.83579380758955	2.10378162415091	0.925111368325066	19.4165806822355	1.0962728650319	3.38134890675289
"Ra"	2.66644689742499	5.24823929454384	9.39955607877464	2.62885116788707	8.88376467293775	3.04290287135845	2.2162536180035	7.00030777860518	1.61134831799399	1.76507868740586	3.32192234912905	2.66113134043737	4.49084361374986	1.74084866807349	2.08466342264728	2.32273218431408	1.34875426047955	3.01468125530534
"Pm"	3.23844786446296	9.18973514751169	4.60604036305236	5.73357278649354	7.73146741850945	4.98717652313894	3.47440474216456	3.25405880913329	1.44930774455355	1.71294850182859	3.3255899383949	6.13990701333366	7.45549635350088	1.96618676144561	3.92781492774545	55.7446869632139	1.077812526302	3.88568463304052
"Ga"	2.10436609661682	5.61305443587147	13.9214941935412	1.68000947902135	7.71104374511083	1.75253599904646	1.61664262694588	3.98551003535945	1.28151618157847	1.62916531851754	2.0342843688456	1.94770983921264	4.95492259449486	1.44036621351234	2.18414956381927	53.6146130200209	1.23653574454387	1.37986425681468
