"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	0.98646371993715	3.09088672152387	6.98297494802016	3.28495017813199	1.57727262764345	1.19102269346691	2.69897059971992	3.83362195551876	1.4630285777394	1.20027759511165	0.965836903326364	2.11626512728135	9.7454342774845	1.65214528759868	9.08975708675529	27.0006577991825	1.3254725386552	1.73564960538211
"Be"	2.16678970370753	0.746515710580977	4.20373862344168	2.92235113229139	2.83038332087328	1.18164392086653	3.2737677505273	3.55915342356552	1.07210777503533	2.44534128497712	1.40781002497203	3.93542737208177	4.22554410692082	1.11170278979399	4.04483574323098	13.9084432066974	1.29407477058322	2.01748659365504
"Ao"	1.8299347903936	3.91239512174083	1.31444712075179	2.16739629116339	1.8418111050819	2.03187434325121	5.80334519229376	2.27549715129865	1.00965550610277	1.30795554429607	1.04679424126002	6.75891530268013	4.6948355838564	1.8114841057943	8.27814784400428	49.1775036755602	1.38472793014383	1.64625514134722
"Dg"	1.66627613730353	1.95791270946198	12.5994571798312	1.19433845728309	1.52336543903866	1.76534307024618	3.42651061475452	3.78361538285312	1.20693005591438	1.53880351621316	1.50588754556903	3.59098972101011	10.0319371262986	1.37409844127858	2.59981807814141	33.9824202125803	1.37224894730697	1.56087004893602
"Fr"	2.14148481765521	4.38259116233033	5.70450028550185	1.61844419783947	1.19768925196053	1.06662880223991	1.08827680794968	3.00956337460628	1.08534987193223	1.32457810773073	1.77832984563175	5.02194459104353	10.3713395733927	1.6920880391112	4.47881588693248	17.2494450780335	1.46838152559658	1.6269458856024
"Hl"	1.54190000602452	2.81268911352866	4.78019581727255	2.24216187213166	6.92314679362347	0.656214867280246	1.14108012692525	3.15785274261144	0.867922884212758	1.64612616521512	0.790033960870945	1.98719910985908	5.3264995197736	1.63379210372783	3.94547694040046	22.5758927551535	0.924772251641799	1.2350374474028
"Lp"	1.81867134918822	2.76685716475965	3.66324765020632	1.9857520279189	1.41363454600781	1.08208166707919	1.14499984512435	2.82600884834383	1.18183369366226	1.8523055218054	1.12339522552313	5.77732668138392	11.367607286425	0.883937830255944	4.6903372604215	61.2268822840121	1.35176700413504	1.61166639724286
"Pt"	2.07619388803439	4.36779930525886	28.1939739754212	13.6557015795199	3.56591240879679	1.3935602869342	3.15513856385341	0.861877255140699	1.2666398534225	1.61049393216636	1.42855208494358	4.12733807232498	13.375595848844	1.68791980018784	6.8441592329818	33.6129684728479	1.32911795006103	2.49105968661002
"Am"	1.31143438731538	4.69526198534144	4.16077737304886	2.32684068889466	4.59663071824128	0.969441126275964	4.49864663248777	2.22551186540154	0.65639255083863	2.89564629370206	1.30961141944675	3.59894105911419	15.8294506381588	1.20556142949472	8.50643830180376	9.89412517729238	1.42997913772224	1.2662197534346
"Cj"	1.61023778306648	5.55903698479376	5.35489016942381	3.5162257463517	2.63478594681018	1.41371856236584	2.17925710674261	4.27655510692845	1.36854190894854	1.16419190170057	2.67686883735449	3.25889586245806	14.5184738932599	1.22000625096633	7.70251506048257	236.241641741381	1.55711768067773	1.88954160494027
"Cb"	2.86734222570025	7.34173477662116	10.5409408110551	2.90625241948838	2.50433419107042	1.51347265748792	1.65883943337443	2.58100319982153	2.35756065691143	1.45861806289359	1.21490168224115	8.02857689251719	20.9168922741987	1.54232634679308	13.7908686728663	217.196417293809	1.78472943208306	1.99878383821738
"To"	1.69286759427464	5.52936854163653	18.4811259181284	2.87893932236103	5.44516688958523	1.48484408537156	3.81847692473871	4.80312781697892	1.87881714549757	1.40086133902092	2.54480802183286	1.25047946718248	7.49675370505904	1.64896878216177	6.71948620210126	37.9779256711993	1.18649934000633	1.56926564704559
"Dc"	1.83558712213689	2.55803485861655	13.4465499336264	2.90575688143383	4.55802726415827	2.05823137535926	1.97237336513779	4.02355958047719	1.47890406190096	1.51429566711111	1.27360611975596	3.01435912618921	1.18211701848814	2.23045764956737	8.68691259486616	29.3964417473558	1.86691198300111	1.92321000603598
"Sp"	3.83024175530614	9.01489476248348	16.6892118538429	3.64667501658042	6.0582055387363	2.23647009079967	7.81997156844221	10.4373109676935	2.85569955362787	3.20727433824073	3.05134199891124	3.16869560081554	16.5149946570658	2.50731362501279	12.2760004812846	72.4421211614287	3.66766042697158	3.84477352634319
"Pg"	3.68760186588995	3.81922370160002	10.9782834379436	2.48770675841224	2.92364349184467	1.46339329408296	3.42657591571485	4.53977858209056	2.27852009184636	3.18843523043647	1.92322815685335	3.76189309277907	12.5794385859065	2.38933868765755	1.19686795862051	65.8575901988645	2.91128560943551	1.89721390396574
"Ra"	1.38350211778083	3.54619040672719	9.12409522177339	3.67985861786562	3.64704766008167	2.32674778193218	5.38513499904502	3.92734400615549	2.16398938028296	1.63262825822413	1.41898225398571	1.50483626514787	7.89598035611609	1.76894977607603	7.90260813074369	2.06143640948251	2.20609322372351	2.09867078281907
"Pm"	2.5022778003097	4.77215842454217	9.1347525707029	4.69409038793943	5.47054413567413	1.67833244324775	5.60770733097761	5.45257483277618	1.99940457659375	1.83964190801365	2.08903467935873	18.0545989773118	20.080783277796	1.62445934832114	7.9743555556847	87.2290034544233	1.1140472518346	1.69725996974053
"Ga"	2.72732871874961	3.3928736971306	5.11895876821617	2.54789720985142	1.39701953349711	1.25018866223821	4.08037384779762	3.52461041196802	1.65368333046422	1.69076529559043	1.30941534688672	3.66124911534597	6.4777117342919	1.80635448227892	8.2497938901371	28.6640618570986	1.51282569654061	1.02087225335928
