"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	1.24573655875885	4.58464949761351	8.10948683330787	2.25833880918737	2.95934460482348	3.10743616930646	2.31295272216579	5.63723893395997	1.08490116493248	1.15377675853486	2.40905135587477	4.42669149554992	8.90040521474053	1.96745747386026	3.4154970162951	20.3052450991049	1.48094233291139	1.86524929017897
"Be"	2.95983678874301	1.04767715101078	8.48388996597551	1.64204581201868	5.46576949857335	2.57019925966517	2.03451495583384	4.99118376639655	0.948938531238054	1.70158886325554	4.97449591259156	7.37557782431914	56.6572320429374	1.91998249464359	2.33888498788076	38.6996512405921	1.7448870064023	2.10017732036377
"Ao"	2.7620804838764	5.78640778381762	1.64395939417077	1.96818443017459	5.13821148148943	2.50888659562068	5.53901788504248	5.90831264670151	0.9722898350321	1.72779196953224	2.22625095733967	4.45123887332259	6.56576998629917	1.91285819142985	3.68128749294978	29.9583387101217	1.5230935305025	2.14317603229476
"Dg"	2.43998794102367	3.01768221596178	17.9021244672414	1.03407032630626	4.74106948548377	2.12940827306177	3.31320646600062	5.08670281885076	1.05379822874832	1.13251708341459	1.60581829839216	5.60554952753103	12.7677171138805	1.77736761001444	2.13555293791459	37.825926867815	2.7118629143186	2.3575140184749
"Fr"	2.80635926872753	14.321680564717	7.55024340574672	2.6526757258008	1.3351742847158	2.24254705824107	1.87844773237949	4.74565025737431	1.33018283502797	1.41488960486499	2.68278159365493	9.99604573115183	16.1269858778439	2.79724463696996	2.06758894033098	28.7708275480787	1.9676393481957	1.70019385990875
"Hl"	1.74583718903025	3.97055708024928	6.20648052457838	1.70777709438252	2.04933669203962	0.715332156704086	1.30367339488189	3.39132198892123	0.721584258580933	0.855750319854448	1.2897762823464	7.86234830727186	9.56046117832182	1.70393367544478	4.02203634887848	29.0805243946434	0.934791612127085	1.27329177543574
"Lp"	2.4070905215927	2.9409596069839	34.2020602620436	2.11247877572454	5.79318213548988	2.70260356653063	1.26272987521032	4.42067956459384	1.07822892752814	1.64822192673571	1.83909357654493	77.9546690465074	7.86523022912047	1.92288831930968	2.60787626025938	29.2835977291889	1.21472693506518	2.02603394136561
"Pt"	1.90821368528914	5.0247530031405	11.5029061637664	4.52908534612074	5.71120674350535	2.6208446375156	2.44461092761434	2.45280726492811	1.203936925575	1.46636798290316	3.16728063773195	4.72627751664984	9.33851868369036	1.57299266052412	2.95798707569723	79.474229109639	1.94961581497404	2.16636362653711
"Am"	3.22772288884957	4.68072641867859	11.0664479450606	3.40747179302125	5.38471018877605	2.28465976364672	5.36586476435903	6.31428875499243	0.932845379632578	1.09352321266269	2.55729171515702	5.76041905690494	32.8015770754892	3.24194763678772	2.69286203306188	250.395806156498	2.64934456100587	1.40646369472888
"Cj"	2.08212472830458	2.55796672343673	14.381751409597	1.62414956792368	4.55997796833324	1.65496309076228	2.18926619495571	6.33211354424015	1.23478540595241	0.894773025610354	2.5769122413176	9.18371610903862	11.072222904209	1.74882683142359	2.50475051860208	78.9559997264369	1.63691315467824	1.79200828956887
"Cb"	2.76528118433027	6.43379343376629	9.48105921453846	2.52551337300292	7.74882904291878	3.7896497667987	2.97161377383169	4.58751764679325	1.51165321920523	1.72929034944723	1.17677644725338	6.341458960034	110.227405295824	1.22868508022716	9.25018697759202	57.9800674642868	2.40919353884454	1.99335270186929
"To"	3.64351523977255	6.08906248389709	8.56975960954485	3.09969311027469	5.26041200277287	2.20188642877683	2.66990181217723	5.26617742566742	1.5373519658585	1.45521039122544	3.80283174225704	1.59270830073994	147.121218912502	1.76768583859902	4.08570004085773	32.2224798015436	2.0236076180253	2.53376058436082
"Dc"	3.51831468378097	3.4122506272318	28.5209753417445	3.09694759447901	5.8896511589139	2.83455865699018	2.61013819148572	11.0293921160977	1.6524225699696	2.02298528647797	2.81262554525936	5.80677986353287	1.5980780025421	1.90586381003914	3.41415118770772	179.630759163484	2.74106629470155	3.1727615318403
"Sp"	5.08238400883975	8.71872515721227	19.9453965475525	10.8135121863278	4.02432105632486	3.79489659958614	5.56947777049432	11.4487197068555	2.58296612582064	2.94757015539689	5.06855421994173	15.9053402270162	9.53812888096339	2.13565245979273	4.00019010970077	266.921829847489	3.28329468918143	3.24121564204665
"Pg"	3.87018073496599	7.21521084184335	28.9920730723734	2.79108020219862	8.52634595798849	2.9158313789855	3.7451495157322	6.97100850171964	1.44701403523054	1.64270646107405	4.22957419419848	10.9014387032245	28.0959557003168	3.14974507967563	1.34830279520856	132.279313519364	2.33637202702439	2.51807516431058
"Ra"	2.39890649938004	6.01629235946586	6.2029269055492	2.81078360969191	10.7594193555029	3.11010802266503	2.58909732859375	8.97796221861708	1.38999151170362	2.31417180722739	2.39821311069366	4.16223458656351	19.833836987714	2.06489771700421	3.60422576885087	1.47446447981266	2.32731777242698	1.85870812399864
"Pm"	3.98522521550357	5.62641183032725	22.4201441142228	11.8799221075718	3.4902182343915	3.52563848787598	4.04679846515286	7.26342164919406	1.45687406046489	2.826290077027	3.35947680474569	38.2933144047947	430.629071616047	4.1029668301095	6.87359946736913	73.4970195007492	1.44507521270626	3.01541241754151
"Ga"	3.199357156936	6.97431559930447	14.203299870511	4.68238774848962	6.2129738902363	2.72439155270469	4.11545358887294	5.0170919760382	1.50888763885278	1.86383515782778	3.21738477765204	9.41198518725876	18.4009686553567	1.97374089702559	7.35578459574406	110.88137923577	2.03533949115002	1.40155029648849
