"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	0.964669088918091	3.23267268400073	10.6041397123128	6.09499813149283	2.10617932255418	2.39647683935602	3.43458285464957	4.80458979394032	1.32278532576357	1.51765759027392	1.60275324560266	3.5865518562726	2.06813959222351	1.71162597661726	1.95316907793714	41.2543671138059	1.04326381067975	2.3065183791742
"Be"	3.37533666072464	1.6303771026233	1.88981053269221	3.13434759206378	6.65151553350372	1.94054308333972	1.93876811356002	5.95116580853964	1.29476855288975	1.73866994222603	2.7084820463236	5.01102029632438	3.69362851948088	0.986655257833643	2.24225238880136	52.0718819448509	1.08257166820172	2.23981644156799
"Ao"	2.65718680622779	4.39111092639334	2.09094953918297	3.76810451719408	3.9786583576096	2.96160853254151	6.18600170996245	6.06368543717061	1.26619123692299	1.6642473578264	2.5940194185207	4.10032993066399	4.73241940728783	1.27613241879735	2.17964483014529	20.5587840944951	1.30973821402635	3.64124181256453
"Dg"	2.6245858802845	2.60427906469248	19.9228682660015	1.05486389613908	3.08413976134476	1.70107487430877	3.38639982808435	6.12250008057812	1.22252061702702	1.24700168424853	1.75230422076586	4.98391732712131	1.68079785127364	1.14923321860162	2.19345931736023	62.1994138965536	1.32501161868046	1.90231741697838
"Fr"	3.15314360362663	14.3101004926029	7.29950584968934	2.84449228850742	1.83591298765035	2.42845378706168	3.07093543239336	5.81672036250763	1.25535716324613	1.61429085666458	2.58824248940724	3.46696810380447	9.43127003467848	1.43614173973004	1.6481442089135	75.2018536865528	1.55168196174235	2.61641476517931
"Hl"	1.95885250370163	6.55551942758776	7.43955407901773	1.74475329745965	3.75436416107987	0.758604715405184	1.47766282863437	4.14300607242743	0.699105725129573	1.0368654630618	1.16165819484167	3.76009087267688	6.81668908505268	1.27301107211876	3.18271612487421	16.0380718769459	0.732384457041785	1.61018866261871
"Lp"	2.38959285595404	3.90283428383427	8.77429984771108	2.76161407259512	5.07832948291218	2.24677156181857	1.65624221605119	4.42342552076638	1.21065690798435	1.41549396040601	2.08237422747704	5.48714044987682	6.17609760455699	1.0122710980483	2.12481521855198	40.402236332049	1.4712540099346	2.17511530316496
"Pt"	3.73225463629151	4.85984342544097	13.6683662674527	4.96247182595641	3.95461117948904	3.16681745738995	2.31340937477699	2.51096749842971	2.14824425910582	1.5778273337247	3.27385715908119	2.91239388550059	3.73635547939068	1.49187035046041	4.82308673669655	84.529388885019	1.39674821881197	2.13608872286405
"Am"	3.34494000866496	4.7897577912968	10.138053022474	3.56948602980861	8.74678392523667	2.51133393609519	5.91946949361516	9.76038527462145	0.929976121723724	1.46176965202768	3.20026480190366	5.423005889503	156.585530378666	1.17768355658371	2.44713757105522	79.689486852071	2.17835586155119	2.65564205324114
"Cj"	3.57616056545596	2.46705679542187	11.4529418235456	3.33181080191668	4.64158814525305	4.53798659734523	2.27763675830939	6.70412310618524	1.59878014261758	1.13167843067155	2.60994465117752	3.67167096217745	8.69737876058591	1.81883073971224	2.416110528825	76.577994725079	1.35762115734016	1.77959737238926
"Cb"	3.1465160854404	5.99273463460323	13.5318039078874	2.6347142855554	7.33494065993377	1.63039487186425	3.14024598627658	6.9153796961	1.75231045523354	2.35456911641006	1.21044144749066	4.83582742573874	6.48284425065937	1.7122917260741	1.86505502836803	44.9590178000663	1.69180098396111	2.26501084659956
"To"	3.64032662482682	8.24917569361502	9.07516539787293	3.42085074662701	8.47111739993126	2.58933120215521	2.80876017289691	5.26437861842125	1.80000260719779	1.87977349513596	4.85027809338178	2.48797139984148	18.3514137033952	1.56155988462456	2.47330087328094	14.9375788872395	1.60697468339056	2.94136031488442
"Dc"	4.13970645255254	5.80740833735157	12.7191549118404	4.95511890299165	7.94766360875583	2.69796993739048	2.65488332765528	12.1674088938562	1.61912477954394	2.32260242747134	2.36493412390018	3.83145773279745	2.81726735582808	1.50712246341402	2.48082853778165	40.2355631849294	2.26703949457048	3.58397192916505
"Sp"	6.10156068533444	12.0754401308762	28.1395274106582	5.11396086470954	8.41611163266888	4.3778745737226	5.38424192109182	9.74267924530865	2.79686809809887	3.27291988992645	5.1868274465026	8.1638740211351	2.81602120656843	2.03849224807846	4.63792060890017	243.966080140098	2.48601915319997	4.80979590246522
"Pg"	3.33296520130738	12.1878578846259	27.236264515161	4.76763762294038	8.1267419429914	3.43837950757066	2.7304521414417	7.31978583796114	1.53402564750277	2.01131186725311	4.47088465969632	7.82349602044938	12.2322344810046	2.6016508444135	1.44012456559506	118.907222054445	1.63360995095544	3.52964052158169
"Ra"	3.16680092688521	5.62624293882505	11.8343344108294	3.43471084069385	9.18710716592546	3.17648837971109	2.4343449627257	9.31753121140436	1.68235499483478	2.00725944708664	3.42115710545318	3.3405243640067	6.94554564424989	1.83023420789957	2.7722113338073	2.44346302113431	1.55306559871723	3.05865518306894
"Pm"	3.20795179489952	9.06928040923044	20.970785809764	6.74117519019587	8.46230965840873	5.63534217488364	4.93000220155109	7.31532679184091	1.77329853855898	2.2267416241467	3.90366456584614	30.8839185031573	32.843993560202	1.85471527574918	4.13918556788845	62.0952073801714	1.06939583025073	4.08621033694234
"Ga"	3.02312215932911	6.99604570129734	17.7884094585773	2.09874138183036	8.80912058494362	2.06169458081725	2.39275730405891	4.60014139774521	1.61481095940152	2.14843237243891	2.76765829967481	4.69397216824432	8.18504594228326	1.63410301687111	2.61867508279531	94.1639596570755	1.50927438038116	1.70655263764441
