"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	0.827211448569651	5.86353929815069	5.61011411187601	1.60502419396186	6.0197683970956	3.04460847895886	2.29320461342685	4.06536911208708	1.1938484996038	1.09316746234587	1.48390085471593	2.99183952771701	17.9747560059495	1.41421184255129	1.31495708801049	56.3535412626838	1.42645431904442	2.54255891895483
"Be"	3.15614688616117	1.34538594926983	10.0101069215396	1.83879569490982	6.28852142228267	3.68521219626279	2.28673207491661	5.54694679087501	0.985580193579447	1.67787623762532	1.84044358492474	3.10292471737935	7.4386774216408	1.1510991274017	2.34014763220841	70.5425181523812	1.30478993897059	2.50310023694105
"Ao"	2.93595570923742	6.08756738805673	1.54571190158586	3.92190503294992	6.35642501302725	7.3040872387457	5.97510747495189	6.90115050126179	0.978671151346049	1.58403987846394	2.07955588835489	3.99954993285211	17.1749314978714	1.35865144684734	2.29331597013199	21.7824186103019	1.36936775561283	2.72259155272562
"Dg"	3.31972783154217	3.81636121572386	14.7846904675414	0.954294558539765	3.37209804957726	1.84327361623761	3.1444298357262	4.15716535580189	1.18351499864137	1.40062363071179	1.7247994846425	5.96060438786509	12.7254931877703	1.39950493550586	1.4166984746726	99.5448755693405	1.96924015863687	1.82753587633885
"Fr"	4.63190610895155	14.4174547731488	9.74449058215913	2.37601109297054	1.40239155871865	2.34269580413449	2.20585585897453	4.73649154056728	1.03735282588971	1.748276079916	2.35792685517324	3.63427878212964	13.5079019239306	1.23226234080119	1.94097524661678	27.8318003031049	1.89819773536932	2.17348741148368
"Hl"	2.09426481895886	8.82690512709604	6.42001685133624	1.73867827481983	4.12339621845481	1.13832448698416	1.46033179554198	3.50504344525539	0.666404763901358	1.01309730012643	1.22310036964344	5.12027440164897	5.43441196984188	0.973756853164532	2.34134742678439	92.7017398503017	0.682091358758923	1.46026515597077
"Lp"	2.94595511592998	3.5692401310529	8.12773779856969	1.99966899932428	5.19553649046006	1.73990162593072	1.37846601128907	5.2156725748941	1.06900693988715	1.7192655265601	1.68647359341568	6.93913611056643	6.96034610731945	1.6512561884893	1.79347525479303	39.936092468134	1.99727395104524	1.56460701141151
"Pt"	3.49552482068938	4.92790606397037	12.9129968304629	4.30530602956398	7.05920027472501	3.91019089965433	1.877644353731	2.52729636348819	1.24194049767113	1.32046114260524	3.02617618147309	4.96330585236525	44.6519054542576	1.53944856307938	2.84680172908721	39.6136374949008	1.58997893613915	3.23139013695366
"Am"	4.06029920597744	5.93493238529138	9.52274748211319	2.89109099417913	6.80154201978572	4.00955768968103	7.95169518682066	6.30964933296095	0.998510998976303	1.46974977625003	2.49182988996596	6.31416958038267	17.0443340868619	1.50537009332711	2.19711341808209	498.320760394724	2.1996763524435	1.76742605825696
"Cj"	4.43811064889267	3.25672517154347	6.81491226440393	2.22134358347431	6.87951223285905	4.31848082752311	2.72539189941357	6.18392597306168	1.12947743166025	0.921187507445145	1.93922646295167	3.17936233788462	4.90746450399083	1.35213195850965	1.98426284122979	32.1265274852897	1.54646921685088	1.83497247444067
"Cb"	4.81367961669517	7.07304912227246	10.5030246576016	1.53216010594864	11.1256889428856	2.72372737073329	3.75716413219826	4.95252020201923	1.30044986577748	1.88468698546285	1.27226857645396	4.13491935090054	9.1355129935035	1.74288019953277	2.20403125862817	24.8060235644647	1.8156016097835	3.03665518736276
"To"	5.16904037223051	5.11856142373561	9.03632845577058	1.71965448858447	9.41900912286485	2.91498615351948	3.40513324710452	6.01372223052678	1.5360269555525	1.55679934696619	3.42004295921362	1.84595977470279	13.8000819734622	1.3363215836784	2.29386390431148	23.9757543771697	2.11029954141075	2.21902675484193
"Dc"	3.45070320637932	2.54212883580855	5.90153364310394	2.98274482578362	7.83176317768358	9.59007129008657	2.93129157372801	11.7345957401817	1.53638045215479	1.84611004593745	1.69766012958655	19.0372672300928	1.55193781484183	1.71818134143641	2.2819719762692	23.0505544191295	2.35875529451917	4.32291162856016
"Sp"	5.68673179930146	10.9573245990603	9.95642194216234	2.81490736043407	7.53778055595995	7.21099256960186	5.44708197004662	8.9386691277819	2.85217509310517	2.78918729100916	4.7807306896191	11.9761586220993	15.3138552011722	2.03422167365858	3.31399147168061	318.865032173768	2.93387832685965	3.40655612873299
"Pg"	4.33630115087432	7.76104408515423	26.8928103892784	2.06818279018467	10.3906201538043	3.90395118482397	3.91567342115841	6.06911182435133	1.35774271387404	1.74645872772188	3.82628844986777	15.3340621744495	11.6477227287654	3.00342197491213	1.63023605353084	169.067597614227	2.3812947070344	2.42567497526273
"Ra"	5.15529747400324	3.45121209310491	9.17032056502967	4.0662853111574	12.2515270510473	3.27920554864261	2.76919062176412	8.08517601162927	1.28408334235385	1.88005660659364	3.00048170856295	6.13044413361729	16.2721271343409	1.85088340415427	2.14120613709991	3.5653902436012	1.84565073614386	2.70683421709843
"Pm"	5.15266115667146	3.35378314303262	22.1157488654335	2.50494122839237	5.0121547629964	6.44305924767924	5.35331299743488	7.08040826175101	1.41784457517096	1.69348596308279	2.62629242851595	31.9353276485052	31.8596028225565	1.32569479517344	2.66946285274024	87.2405535924348	0.93831570242383	2.59029570791023
"Ga"	5.45120945751115	7.02538250454974	12.7170468842244	1.65446668998481	5.0131618424466	4.81414155716764	6.33310449925859	5.37823867892815	1.31586968793223	2.52642481732765	2.66748613907669	8.05569726785923	17.1197802720377	2.01347067697422	3.15630084225159	523.54058103504	2.97159770335496	1.5848403766155
