"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	0.967356702459438	4.56257845735499	8.26820768767943	4.0747922533729	2.3516216147062	2.05081861367897	3.01331576763181	5.58421845143272	1.52112081473181	1.33020337262011	1.30837188253883	2.82744886236072	10.0865197608375	1.92914714829029	8.05618980325468	30.4586178472793	1.40697015081016	2.11922476010204
"Be"	2.44203573285179	1.2223308680632	9.75783444187364	3.28114612149833	2.7052810574132	1.55036094334759	3.42186585460281	5.58037987314062	1.14654904286225	2.09244691200452	2.06142699424703	4.319149338226	7.32047227083456	1.15873874723742	4.37358935128425	40.0418181224712	1.49730695342619	2.05570746831189
"Ao"	3.0167997024221	5.34731498245153	1.14089978324954	3.23872901684496	1.94493903194873	2.71084784527614	6.44031015721269	6.01264175905297	1.39530617756061	1.66931424000064	2.26553566144988	7.99748364696553	7.17912704131925	2.31275948229016	11.1485918919293	58.7731884851688	1.97010433970601	2.1639264182386
"Dg"	2.4182354812338	2.83828239406981	16.7325022786064	1.37589338740649	1.57148880129934	2.08864035872145	3.7481944766393	5.17176058442456	1.2564068811766	1.57643980674879	1.83331399219274	4.54023326448877	10.2507239898765	1.4141036578478	2.57493790941592	67.7097574876572	1.46949577266196	1.56843951080937
"Fr"	3.10732385900537	14.7198457141704	6.67227991174615	2.40312675143725	1.3759223131516	1.71259160391294	1.8867984230541	4.82039533215255	1.25678140490106	1.55820951758701	2.52840439847857	4.89054689098232	10.4725912143959	1.83934069296199	4.14297338426307	32.9211748803218	1.72789321713958	1.5658236741435
"Hl"	1.9142008325932	3.1290884803416	7.06376981280733	2.26570914761533	6.03212001772121	0.743773123435268	1.42389971935103	3.77735607501842	0.831331926546054	1.02307512699052	1.09421552698879	3.66789164634189	7.22199005352281	1.42340983298866	3.78114756239054	32.2302943628615	1.00408382624928	1.47210720065089
"Lp"	2.39305670547567	2.96954550278828	8.9617212246591	2.40047703435077	1.55799124987535	1.59077867018041	1.58237048311154	4.03894805296532	1.30080063119149	1.71433626272294	1.85530005827501	4.85023227200916	12.4133016730205	1.07746154012511	4.17266874281389	71.2117228149643	1.46574825422425	2.13236591090123
"Pt"	2.70903720228788	4.80190663613995	25.9632862199212	14.5900912980078	5.35961022669741	3.16255236435931	3.44647062461557	2.41605188515291	1.60369704344622	1.86061173086968	3.08159695689947	4.23078442219426	10.6448563583332	1.68697201633256	6.71745996413612	38.5178446657619	1.57881213782721	3.14274007488157
"Am"	3.34843972616045	6.14440984444785	6.51468836994359	3.3917427832784	8.52189997686712	1.77186217235938	7.30205692990844	3.85575974550194	0.977176813377202	2.70020088437786	2.87647543008205	5.87060449096626	36.1018799618773	1.5701607083993	10.2589632896925	249.980597053916	2.40815373570006	1.62704870580334
"Cj"	2.60941738780663	5.90085603232072	10.2068201300406	4.14667658594171	3.47755604176993	2.07836663958392	2.97652773860722	6.33100167010347	1.56551049258432	1.24811550381096	2.82026749972204	4.05450680940892	18.027731696978	1.6267194438922	7.69713344199501	254.144719549861	1.68053738066496	1.97701159650778
"Cb"	3.58486116041129	9.33020053098784	13.09450047098	3.04901187620304	3.41952725404723	2.07874768956382	2.07717298305822	3.72601188528195	2.54476124893066	1.99627295334568	1.43655200623015	8.9108801568056	21.5013506202648	1.7167789590144	14.2298137010651	215.576034160931	2.46239702492042	2.15723691515416
"To"	2.81770708120833	5.9885619267687	23.8059943551411	2.98590638447403	6.42816004289254	2.21666047625321	4.05290453022931	5.52312459102309	2.09320051675086	1.64099065161695	3.6784606853574	1.70175436022533	9.01359930324493	1.87698270118678	7.29523052794579	43.2022192994618	1.49718584855554	2.18023192008436
"Dc"	3.06439207783378	2.93916151685733	14.5954407480256	3.92905582863213	7.38933988841227	3.10361596408291	2.58023600396897	11.2502670937721	1.8681124814489	2.29769156821611	1.88540892033178	3.46390902529541	1.77990371092433	2.57644120547621	8.17667212383864	44.3568799177806	2.35611712393744	3.05122262960146
"Sp"	5.40456253465447	11.8817854089599	19.6286841972377	5.4471891649434	6.55130953261323	2.71241496493869	9.87414860633199	13.5695986987259	3.38479276054797	3.7755354462287	5.40683077969547	4.5238926096563	17.0708267009864	2.67100374660305	9.75121831070903	252.965537771583	3.94036102932913	4.40206537769743
"Pg"	5.36021907246714	7.3731005278156	28.3924363125839	3.12289690400463	7.84220140384154	2.49542053970677	3.73439707055957	7.6004647032162	2.49290037993104	3.38458157350201	3.89752162426746	4.75222875320759	15.2841161913634	3.42353317175804	1.336610974066	76.1283265640355	3.43524764845265	2.48114548349962
"Ra"	2.43868803510662	4.08582885891858	11.3167609911806	3.75336291941675	4.10765767162958	2.63926224936974	5.39526439845243	8.11050947534613	2.22752160083955	1.87648487320306	2.12888181463454	2.27665544651494	8.5283089089415	1.91095673294958	8.17644453904174	2.68209960786662	2.42157563096343	2.3873404142692
"Pm"	4.26369159241784	4.98689992580826	22.350619417666	5.90180934403757	6.81907128926867	3.44874398843044	6.92373903533827	8.70329775904801	2.31106812291471	2.37580375460998	2.01981087956839	34.1019952431484	27.1265115870208	1.86074611213057	7.92071025076696	95.4760079379738	1.0397654667017	2.86003449163466
"Ga"	3.25431177867526	5.08941079602948	14.8140845668964	2.7284135278594	1.74655718867105	1.85974051764484	4.71840392360485	5.63063864168539	1.82398062495547	2.15650752145486	1.98568814313054	3.8584934312785	11.6067647698312	2.29145926585533	8.76577212301798	85.9044230717117	1.67629232467852	1.38044612097599
