"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	1.26064360835497	1.44054200971292	7.16647363910415	2.09543757130652	1.83002838404332	2.76465889230107	1.49920618803075	4.01391994691812	0.977386424996279	1.00007383060275	2.1775025017894	3.82009090655073	7.52909437023655	1.62795389217096	3.08875688929683	28.9547411101056	1.32709644957447	1.58076761864195
"Be"	1.65963200483587	0.820750115236985	2.86105799599143	1.99824476937666	1.84862619532935	2.09341053632695	1.20878908762949	1.84208069869384	0.752504739972339	1.05919767048123	4.69978979697648	7.68678863740444	57.074294098192	1.89132717997589	2.73587509786744	34.2231864490057	1.39325582616808	1.35139558578842
"Ao"	1.59307674144933	3.05663149137548	1.87207813106937	1.27579283177377	3.95752872664289	1.91502058707511	1.8091818397345	1.55628305553669	0.832271087477857	1.39885747258054	1.24875752289852	4.63181515264386	6.82422811972643	1.9292055493266	3.29595454447269	35.9362661943176	1.11588711838296	1.73136452992971
"Dg"	2.15922543337087	2.73311777876424	10.5781172692226	0.768857085120263	4.45943692678582	1.9194049149049	2.16704001641777	3.51339209670484	0.88704550420868	0.843469619693301	1.22743149661319	3.61870592537143	12.8321743681567	1.78735588187175	1.78277080407677	62.9986935363427	2.67670824336901	1.98629087609231
"Fr"	1.56113112051814	1.38406083203671	7.08146257767658	2.65750067171195	1.12658709053661	1.79416149910438	1.27320787294564	1.44825876688792	1.05331778051152	1.1389504937207	1.83685865659705	10.1916310571295	13.1793627667049	2.62627329087147	1.44553578857539	26.3929515139216	1.4404034210615	1.1060053135986
"Hl"	0.746049083704615	2.62430112669261	1.71835831189167	1.10843055133699	0.949023566181646	0.595933350396533	0.746199177388542	1.074157621592	0.610876028446269	0.74270027421207	0.920023227793094	7.01198193272026	6.96337109474288	1.61586850316318	3.87851347658056	12.7994219170295	0.680576070387666	1.22042683338679
"Lp"	1.55358973148723	2.07318752573176	33.6327731583394	1.96182767751802	5.09249565926636	2.33944062932885	0.946105615036967	1.85393363665975	0.984483730498577	1.24420538173206	1.14313822533133	77.7539109088025	8.62860551774953	1.92900887289041	1.95868371732429	48.2176115361905	1.10933666584077	1.81877989519943
"Pt"	1.34685426019343	2.37637107224911	5.41097187709281	2.55618428132047	3.62693113930001	2.90269955932454	1.85981866361165	1.16377797487076	0.891585476488121	1.09641085992948	2.01835810512969	4.17397414040221	9.83679404262352	1.40474266297727	2.69773602967477	67.7665370923498	1.56665195580665	1.57988890645151
"Am"	1.64990937552755	2.21585377412654	6.44168602903055	3.36937990096566	4.01994913105873	1.5925404517005	2.26797967863984	4.94478757836775	0.786878158798586	1.04985254062728	2.24135930066458	7.16497954942044	10.9114993405378	3.12934414101359	1.95053520403575	29.2823556313006	2.36217317586916	0.852736811632703
"Cj"	1.37822394683026	3.09084598730101	14.775041594403	1.88538307760666	2.43003910237437	1.33900380107616	2.04829592579289	2.86326406634621	0.986665278827132	0.819524270584682	1.81636783571531	8.52152960821374	5.17670201703869	1.52747297557502	2.10057159193655	52.6967458672186	1.186224160416	1.68600966875368
"Cb"	1.98190289270374	2.03339085559851	8.06899327769569	2.34150122866218	6.58659995417053	3.58466834003325	2.52681776233801	2.07344559589936	1.08415634138798	1.16894488751505	1.14449147575468	6.456824841269	109.904608525585	1.3875325315914	9.26700463709035	44.9859294808615	1.62966293096605	1.40251680335352
"To"	3.03028575449147	3.12098102591577	5.34280087920783	3.13020357166349	2.87491502822125	2.71551665984304	1.93267595633878	2.00056586966131	1.36500530617368	1.42147277246199	2.26336684061704	0.911663038370863	146.989357468294	1.67618676407025	3.96028208717724	27.2671183007851	1.67144638977511	2.14680574495808
"Dc"	2.54943671288766	2.77992937704943	28.158027742648	2.22372183982367	5.209403672589	2.52952974080644	2.09431805026951	5.72966689242324	1.36621146482541	1.41854063972982	2.61682260124445	5.27224589645157	1.41955035783089	1.67198043440983	3.08057293809462	179.173803441925	2.09257641955629	1.96968053711508
"Sp"	3.1778541157164	5.37887411012576	17.8658450265929	9.97581157433889	4.77216967877983	3.00509037516325	4.43681367901595	8.65033579381882	2.12177629657932	2.85438127105366	2.28643894566444	13.9435826754589	6.74416572733369	2.01858987717908	2.74829397506781	145.802319729298	3.62830139090012	2.7295734225375
"Pg"	2.14011679659721	6.85872454731934	16.8801591703781	2.60772823840669	6.79142036684656	2.84537156174317	2.16654376390739	3.42778880303741	1.39169447360344	1.45350186929884	2.86288728838691	12.5613895481705	25.6856948403004	2.25764484104802	1.29396706082317	57.9129635645478	1.81275693109656	2.09353779507654
"Ra"	1.7110147331436	5.44122838812962	4.82078218494306	1.94733857677494	10.6132714608409	2.31662403188551	1.9557716626964	4.37609708136087	1.29187071170116	2.10076690110798	1.86952919066581	3.57385561240624	18.5453982491391	2.0545194298569	3.40815821292229	3.19347549685319	2.10478324408868	1.68906723833212
"Pm"	3.25226204245096	5.95938810321767	8.34498519163164	11.7918201431501	1.66281766880047	3.2197419463107	2.6298017006882	2.94123349557064	1.20343390500921	2.32469141695206	2.4592131223599	24.3056168740573	429.404448355689	3.95733560937307	6.35404161845672	59.6330855374415	1.51489573729587	2.69546571255468
"Ga"	1.65286468560855	5.69025421854155	14.4861965503582	4.5827657496914	5.67365963078259	2.37001385708992	2.03182150316851	2.27542386307116	1.37414916925956	1.46241046563711	2.51493940613524	9.06742891136492	15.9979188803621	1.67023204348035	7.42936474201841	57.477925451336	1.64792812503832	1.35313562627187
