"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	1.0150579654281	5.13095642483211	9.41202460197809	6.1003880520231	3.17520594015613	2.42493749382178	3.2591248569119	2.01532194478669	1.20119338980488	1.29544899790325	1.24755765290223	2.20523358541957	4.54352148975384	1.54775830606533	2.17097533515624	30.8776871631991	0.88703040254468	2.47935041040374
"Be"	2.41049725070657	1.2657016028241	7.98227396480673	3.2033653892068	5.20478793987303	1.63081094201673	1.47513057961433	3.79105148956833	1.0731424794809	1.57122994613145	2.29663719194451	4.45012661358502	5.74156456465209	1.03973151478665	1.4943086231592	48.4974433850902	0.991726232708501	1.97276285498701
"Ao"	1.74932653060668	4.66664596561315	1.25619976997019	3.12871584403142	4.46847656757511	2.2673543291192	3.28917029271442	2.2066496181125	1.10437621696512	1.24556489114019	1.8660212327139	2.51672172560453	4.39440758510674	1.18067362692112	1.41024096384992	21.1349684467035	1.0064676615151	3.30639740748152
"Dg"	1.99577428535053	2.27204883423212	14.6148484625635	1.01991234230358	3.18572803907784	1.5335277825267	3.6661158362741	4.858559426537	1.16515977321003	1.09506489572576	1.37960809570779	2.49481235847699	4.01169215298901	1.29439039906858	2.10050173189393	34.1256831472099	1.08286653629757	1.61524486291697
"Fr"	2.09864536194956	3.37911366372386	3.15072736150763	2.48514373047125	1.46577035357018	1.90333309081593	2.70550963870951	3.68020561230486	1.03454963088521	1.3272612715773	1.43238464613801	3.03909391566316	7.5527382195813	1.44283219835851	1.00203159320881	76.497812342097	1.14032801088793	2.14390827411035
"Hl"	1.5682560922186	6.33355479082012	4.76883177010238	1.82799612265168	3.26928204853122	0.67718722878383	1.01253900739343	2.83749687941423	0.484851259929859	0.75651371796369	0.674027958653781	0.886377895549699	2.34187375141139	0.697702464639258	3.00022708608893	26.4131151468288	0.524560479375246	1.15959498044286
"Lp"	1.53211557067415	3.50564476318382	5.33542352500576	2.57819475894107	4.48221175084136	1.87033474632716	1.44059265829773	1.85387962444925	0.975002494651631	0.821551638428514	1.56203012752355	3.67337876217663	3.28736654018651	0.990924409241253	1.85113185033402	10.8290933632718	1.31272193489722	2.01474182359245
"Pt"	3.56993396041926	3.74985331358909	7.04247796048814	3.72091881065523	4.0056796511494	2.38743055225308	1.62342382773305	1.04702151000316	1.9300704159233	1.12155873726267	1.76764462779685	3.29327123004294	2.88740310145057	1.47025418640239	4.42151309264667	47.5391602945799	1.08412548892596	1.6537789007381
"Am"	1.80104284859511	3.60268549554924	8.61169662951857	3.64852563675496	7.00166092608233	1.81886424542473	2.84598432226032	9.72468159867263	0.84665905359041	1.0228857756329	2.14691963600514	3.83669754677306	156.621973678951	1.45589445704628	1.99861067690146	235.689723192566	1.26446034678624	2.33424689780417
"Cj"	3.17423475726935	2.99270688309939	7.94267636756296	3.22069266076526	4.11496340045593	4.57153734421702	1.80193352766292	4.09191177769589	1.34574664255687	1.13634906328204	1.69392035219268	1.65056073332412	5.71301242900689	1.59056865082514	1.35090391597025	90.5123058791973	1.10308396026288	2.14032127433588
"Cb"	2.24050105739632	4.24517804320421	10.6219571050453	2.34058626489989	5.93187135399574	1.84502770297455	2.79857990309464	5.65339703897903	1.54752298683722	1.87678318583641	0.852414801351034	2.0193839110316	6.46549444229616	1.54834541981151	2.08311024499615	26.9738194070197	1.38430980215385	1.85671648611992
"To"	3.41952716459884	8.35104036763539	6.51269536468797	3.25515085743155	8.2574667036172	2.79525506546242	2.33369058098934	2.69226374973789	1.62403147710749	1.70835616126341	3.90108812409904	2.45110326535091	10.3905193157923	1.37046717398933	1.74672081781898	14.1518442416394	1.59823578754019	2.64201794034487
"Dc"	2.81677546380624	5.65565344684113	13.9328803708546	4.24181129540583	4.71669135331222	2.64269837517187	2.21543168335256	5.59250558977208	1.47800719066227	1.69109766416567	1.85918854312848	6.40656687593124	2.52283344840824	1.65484519136839	2.08258292197927	25.9003813235387	1.33808248416564	2.52411703719759
"Sp"	4.22588270521667	12.2115957582485	26.3826013812265	3.84739901169545	8.25705786255219	4.37581052054022	3.64090584755453	6.22404210258595	2.81810709197644	2.88722511007393	2.68923317188761	12.2987933582225	6.81981872883656	2.11429690401536	4.59852962678706	66.0745460852457	2.15792994898807	4.86117966724191
"Pg"	4.57318948750342	11.6770121773923	5.59658263731264	4.89073522626094	7.49231832722693	3.23944086973456	2.9736624754684	3.88636541605201	1.63047881308497	2.10029634218226	2.8149060344152	2.5950518918745	3.03798249494213	2.620934343497	1.01902750512618	19.4130106911893	1.2890201796235	3.52522997815157
"Ra"	2.72714780513825	5.64381257134711	9.96451128213184	2.55032493454677	8.42775697860145	3.3861979789683	2.30417005900067	7.15359777656277	1.66202153583069	1.70936288168029	3.07742097169955	2.52443997988626	4.32708189592884	1.79196589751454	2.00209978557226	3.61803500179648	1.42969401658777	3.32078116410975
"Pm"	4.40982180584609	8.99643160126644	5.09559700906993	6.82455970252786	7.92757999152735	5.46923219587689	3.4067936376479	2.8746803978446	1.38733023044974	1.65834392725729	3.12482114143458	5.95707840985638	9.60193512012362	1.98287244970751	3.94211932590639	72.1757932147412	1.01637734662588	3.52110662380419
"Ga"	2.30924038476662	5.50320095620524	13.9419843117374	1.70387144642307	8.63024659988396	1.98886360834623	2.2279500399932	4.95529685641638	1.36050053365497	1.77123587985351	1.87602327637786	1.90984857187378	5.73098213889227	1.81332673575151	2.76091683458378	61.0241142078382	1.4493439639725	1.39284480226876
