"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	0.928223858243197	4.81081338216933	4.85736822248204	1.78597321597406	5.70627202540876	3.11391368485233	1.66931914497684	2.99603060328509	1.09906435938727	0.846641884004545	1.1189732121159	1.27778597214595	18.237059030049	1.32851307894504	1.66438649872825	49.0119356310171	1.20514960024095	2.22750325543646
"Be"	2.15241779357036	1.27842255023388	9.11937937648509	1.65281773066169	4.05137012406144	3.53166740067233	1.93334750651294	1.85659049748261	0.914156290599119	1.23446985714551	1.20789878379487	1.39610060639254	8.43963463255911	1.02225729283764	2.16893089055155	61.0800123910567	1.14546305073449	1.8981740093015
"Ao"	2.18269529141246	3.35443304484194	1.37245170598049	4.15119570450136	6.05991886866588	7.0236872318713	3.10852744489176	4.22768012743735	0.842528250536314	1.33294750013404	1.05911674872973	3.56363018549536	17.64803184715	1.09755347992594	1.88872466008981	32.5809873015372	1.04802105780646	2.06576887819398
"Dg"	2.87470833132653	3.46638420363236	7.01448021973604	0.828702078827382	2.99810207921409	1.34638686613553	2.3249383536274	2.25610018130894	1.11343226762922	1.20660089587232	1.23589721214248	4.94977791554432	13.1178024978441	1.24698225696997	1.25392388138346	82.2906567025033	2.02597221994778	1.69933029283557
"Fr"	3.86297269857858	2.1128138755803	7.68538555777717	2.2656753116299	1.0782032477566	1.98797882080182	1.62988576878892	2.10931229415201	0.910885649385045	1.48958737861656	0.968280050407319	2.71663486156644	11.9100540028845	1.42186223487568	1.77496747890178	18.0553717703515	1.48115702562906	1.76920326967914
"Hl"	1.38280720505176	8.38769835708865	2.92385794077395	1.88034610281905	3.85573087166405	1.19799645972562	1.00621756185007	1.78961745459851	0.556470751520233	0.686356980035799	0.799553902153506	3.64224640424676	5.93105451243734	1.02887036107308	1.75384167629531	89.7380421006842	0.504259464852027	1.44279997190981
"Lp"	2.28382275741643	2.918189386601	4.57278828330638	2.40701032910848	4.52797367997451	1.92403249526292	1.06874159478481	3.34750646485099	0.857584401716189	1.51699653257717	0.917693097608167	6.39646137778856	7.80589689795689	1.514159761992	1.76081192812725	14.4655705414689	1.96618640496807	1.52414611670028
"Pt"	3.41744050363969	1.69634337668835	6.27147286317192	3.13113086541045	6.288852649235	2.95558875415404	1.16624141030483	1.14212393800496	1.05132818703198	0.961320962733811	1.45171780871172	4.99258037147335	45.1997640316145	1.16052579890349	1.76255429068257	80.2377414023876	1.30386200547965	2.70498473818852
"Am"	3.06949763034597	4.48228478531245	5.89222589569107	3.05697495030123	3.50728561775632	3.66302755658152	6.38653317129504	4.95549096669492	0.976067673264448	1.27401986927719	1.44788587404973	4.36582530319664	29.5136920974101	1.18360593938258	1.9620147232089	565.806360379067	1.33241073076001	1.30456621346869
"Cj"	4.57152151536819	3.12211544709919	7.2397020737361	2.55583889913308	6.80294307188637	4.1113068952683	2.74398068898288	4.55884573157473	1.01390326462276	0.905371552676834	1.23079700720128	3.80641643946018	10.7583527969092	1.47547299922633	1.9714720506422	51.841678725522	1.48802745724027	2.1396718267366
"Cb"	4.61668972507359	5.39036533859626	7.27530981016954	1.47633026204789	10.2981145780802	2.20118749499983	3.13474027707551	2.36358105155895	1.22715484330744	2.12429236025619	0.921401590169078	4.62497521977209	6.65609100805804	1.60227989052599	1.90004814178063	31.5068694133717	1.41381713454688	2.92253901286783
"To"	4.96980458699648	5.34625628664476	8.03218410041501	1.64472118999723	8.62726200991564	2.81979296489471	3.08656898623432	3.83238737169586	1.31819194181247	1.29480630244713	2.06822513693503	1.63598619511651	14.1355614380878	1.39524002180709	1.96858725521896	25.7404139068782	1.92591252204849	2.07990327393006
"Dc"	3.22088196325447	1.45627123934624	5.25146671081714	2.54865687173837	4.07388740087076	9.47940005151626	2.68467896489556	4.84497958213438	1.41741613730178	1.48366834794907	1.13783067474715	18.5410454380556	0.898687913704018	1.42083571133475	1.99650465701814	28.8949205815014	1.6881551376997	3.57267169709942
"Sp"	3.59371914662414	7.36945991934004	8.19348266348182	3.86343914644682	6.29621164359002	6.87765764661898	3.19449231182087	5.10683107047784	2.6817895170589	2.12264855908654	3.73398690806671	12.8480557111305	15.2665569649868	2.07831231081828	2.73527336773974	232.186873731254	2.8255795074611	2.76242091806652
"Pg"	3.31344079446248	5.02043568544763	4.76342660033686	1.93198793823106	9.58140184125911	3.90773851442891	2.78347473027466	2.46863213788049	1.20678614715606	1.53359304127632	2.42849545227634	14.7756420169235	3.61337005344753	1.79397336575571	1.85302835248139	124.632289496995	2.08842364648172	2.2038702453728
"Ra"	4.80276574289967	2.62964867855093	6.53813946831	4.01227813711931	11.6037468268667	2.66818699502663	2.00137169638405	2.1826074737705	1.25969636826863	1.6505795080038	2.63965990187063	5.87849722982626	16.1176630142137	1.5944348161019	1.73961158217485	2.74384709468403	1.46408978348971	2.20890712182928
"Pm"	4.59338580852688	4.34622197858366	9.71728349630365	2.52069812966855	5.2170207375611	6.11848277824815	4.91357616548595	2.05963526821763	1.04514604482245	1.31583951661278	1.56056103544637	8.9255462785108	4.40834986055925	1.33328800749156	1.54586464203715	51.2858999587684	0.926021964405038	2.32997500591702
"Ga"	4.89266075851967	4.43403635126369	12.6621208104471	1.40478436045707	4.44036662685301	4.53465422057988	5.84646399669007	2.20371260772881	1.20408309408118	2.18465928139923	2.17682144788136	7.25594568396221	16.2529575942064	1.90209828820147	1.96076318021503	516.889991643983	2.60338995876819	1.46611919142935
