"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	0.987509316591916	3.02764389597529	7.18894274024498	4.10842917613795	1.65236783037209	1.1437710817408	2.87024569812757	3.80560297580625	1.43705930397178	1.25070040172311	0.863355103442654	1.87692792180194	9.52711319940251	1.63881776363071	7.84171430428122	26.8715618749039	1.42435837279715	1.96106603483185
"Be"	2.54799818833981	0.724083493229592	5.10478903781428	3.00218870934288	5.35958223563306	1.23327767316723	3.04400798192711	3.18225672313098	1.0564941533564	2.00874407202887	1.37952553231108	3.56044806965744	4.07363767398424	1.00029154009877	3.98806568865907	12.9175410961787	1.20489001991033	1.69302701003755
"Ao"	2.07975855323011	4.01427729896671	1.96757809305612	2.39615844090372	3.22045683952344	2.63338189752702	4.91777437813946	2.29395672843421	1.11676739011705	1.34414269194362	1.21437664414938	7.2667048906698	5.2726163660635	2.07489078665519	10.9837943191431	58.172055790355	1.6971318180262	2.16508421907323
"Dg"	1.63835928875494	1.79868494868272	13.2688553099531	1.27856905844513	1.71106112894961	1.67562093823412	3.18940907305657	3.77892354425981	1.16789999500128	1.43976672336943	1.39249663607948	3.75268519822597	9.6737616054804	1.34540180914741	2.40768134363609	29.9911133131985	1.19652266578208	1.97912603231393
"Fr"	1.87363950015087	3.93853884128379	5.41747888322586	1.42292145018515	1.06900315117102	0.974334573956067	0.965910207403372	2.66703978814878	1.00416051120195	1.25092126393089	1.60632130538164	4.84757114502345	10.7474402081262	1.53427628917863	4.13254358252974	15.0511325554838	1.40960195846018	1.59657417449158
"Hl"	1.50482079153224	3.40707526836625	4.08020752930954	2.01742842026232	5.7166422335294	0.680154948116058	1.1742876846774	2.75223424908145	0.724715407173106	0.676417289321504	0.733656001646719	1.59844733674658	4.52361671598415	1.0216856528029	3.49042514601179	24.1723604237594	0.827526429729887	1.08058481828624
"Lp"	1.67867963853849	2.7405204998289	4.71932869350104	2.15140497257155	2.77515255757172	1.18559275203765	1.32886269045523	2.81757076074732	1.28164981217916	1.5367327340703	1.17873750652938	7.45116929265041	11.645583113167	0.860960918249997	4.08358129303578	79.4563064696818	1.3940691815472	1.58669874589158
"Pt"	1.95659617578226	4.859428379359	23.2075585311079	14.8472501645099	2.97743284964101	1.43846856419218	3.14966324645252	0.7960659415044	1.31294027396704	1.58136293255853	1.33784208839805	3.38008668237079	10.3433738454988	1.36621611913364	6.1505267410346	60.3178265622585	1.32255779007233	2.56824777637049
"Am"	1.40029025547764	4.14062316372103	8.72539672641404	2.45027025019367	6.57381701460131	1.2469641043401	7.57743668248304	2.69284937260005	0.942306010326192	2.5273934308942	1.35436696360925	4.121223072152	25.7519351513866	1.68074404183336	10.0160148032491	9.97837777342601	2.20288485112696	1.42993043017909
"Cj"	1.55335230015637	5.54708673813523	5.06944173617492	3.99501026606247	3.49855542906465	1.32055475168157	2.13347799452952	4.50831166591727	1.33739658304528	1.1612005891511	2.71532906380891	3.46248090017727	15.287896606411	1.25793877668459	7.40218726217367	246.565113241118	1.57055109011459	2.0931521920945
"Cb"	2.92241180437335	7.22965087071386	10.9477244599123	2.78762495795366	3.22324114314032	1.60507651948838	1.89858070072103	3.17750836491075	2.31711586868101	1.43631309536326	1.28140215381858	7.87247066340225	19.8277683056604	1.53871561411841	14.1023034594121	215.904705085362	1.79848634613445	2.37853856981803
"To"	1.716461533728	4.94293564832793	23.2718530894225	3.22316693975495	6.09494407722559	1.60624328029002	3.7634231621422	5.43147187071738	1.83254220801376	1.42188254460436	2.61144794124884	1.46493355686554	15.1454706840238	1.63722845169395	7.29546169323848	39.0688839985644	1.24420259302212	1.74910605677864
"Dc"	2.00362409333642	2.76148377814579	13.1072567499473	3.34749686171352	4.64554208064155	1.86995033871177	1.82006969258021	3.18122884937875	1.6813568864748	1.56895713406789	1.43933113284986	6.12171228840616	1.49258105542877	2.29086956206196	7.99547771333753	27.3920132160818	1.76337307283575	2.03745738636998
"Sp"	3.88576850618761	9.47939865699831	16.7484405275245	3.80477111630061	7.30532455105485	2.52223793722436	8.82382859307553	11.0191281725166	2.84873962807773	3.14398231155808	3.02628000704492	11.2481579012668	15.6848368317074	2.69357774705812	9.25804360636807	92.9776981162109	3.96163263546905	4.2472600750566
"Pg"	4.15920690925555	3.83773613874425	9.48920168411207	2.61999260914837	3.08531356127589	1.51656302821474	3.58905793798616	4.43840680987189	2.23442403594791	3.28271430930563	1.96533322474718	7.25488393320443	12.1379706180024	2.49638240428969	1.33769029183281	103.409705405021	3.15595844230336	1.99254036455223
"Ra"	1.45301634418823	3.80412811128254	10.617837678961	3.91434690885943	5.05853405836413	2.55127661782073	5.23856930137992	3.95571226081191	2.2275818047462	1.68298819348013	1.70810134619237	1.50659173028876	9.63289938489716	1.78308560199405	8.22173277630129	2.04757765532749	2.19040169146249	2.34629894721152
"Pm"	2.30819978985166	5.66474900459298	9.86265212942004	5.93704455825464	6.27892958390051	1.50969091105463	6.2932449407928	5.40260173667013	1.89634930649222	1.60270478846284	2.20106086724436	24.2060661186261	29.4563078122219	1.58810668853724	7.35923157462497	56.0677745980505	1.00328068431004	1.63878440172166
"Ga"	2.97967959719696	3.68805619295071	5.27388680131887	2.51195227146052	2.23707208014439	1.34906891565596	4.26828116500748	3.63458454949989	1.78853283536822	1.61431682643373	1.49953023316588	5.07484612266817	6.91954587473436	2.12496789380877	8.5162976766277	70.5197119502417	1.62843689132524	1.07167571377514
