Year	Block	Plot	Nitrogen	Fungicide	SLA	Sown_SLA	Delta_SLA
2016	a	1	1	1	19.54620263	19.31938966	0.226812966
2016	a	4	1	0	19.68253962	19.68253962	0
2016	a	6	0	0	22.20171836	22.20171836	0
2016	a	8	1	0	29.00207717	29.00207717	0
2016	a	11	0	1	17.36853141	17.77099713	-0.402465717
2016	a	13	0	1	24.93027745	25.77015108	-0.839873638
2016	a	15	0	0	7.925057055	22.98337191	-15.05831486
2016	a	16	1	1	16.56569285	16.56569285	0
2016	a	17	1	0	23.90651665	23.90651665	0
2016	a	18	0	0	15.93834531	23.2493338	-7.310988495
2016	a	20	1	1	35.89425271	35.89425271	0
2016	a	21	0	0	22.07279284	23.01080721	-0.938014372
2016	a	24	1	0	21.53932405	23.05580463	-1.516480583
2016	a	25	1	0	18.60658873	20.1053642	-1.498775469
2016	a	26	1	1	25.5689122	25.5689122	0
2016	a	30	1	0	12.6041831	12.6041831	0
2016	a	31	0	1	NA	NA	NA
2016	a	32	1	0	21.24763488	21.24763488	0
2016	a	33	0	1	10.73376978	23.91699759	-13.18322781
2016	a	35	0	0	23.66201106	23.04766924	0.614341815
2016	a	36	0	1	23.67077435	25.73904165	-2.068267295
2016	a	39	0	1	23.91341989	19.92250088	3.990919014
2016	a	40	1	0	22.30518075	23.68783023	-1.38264948
2016	a	41	1	1	14.52437409	18.53102406	-4.006649973
2016	a	42	1	0	18.31411481	19.95810965	-1.643994836
2016	a	43	1	0	19.41211828	20.90325467	-1.491136389
2016	a	44	0	1	7.62488188	20.18162394	-12.55674206
2016	a	45	1	1	19.91097408	19.91097408	0
2016	a	46	0	0	13.15714915	18.19563477	-5.038485621
2016	a	47	0	1	15.9375312	15.9375312	0
2016	a	48	1	1	21.89458284	26.02303548	-4.128452638
2016	a	49	0	1	18.22451843	18.6577072	-0.433188772
2016	a	50	1	1	15.75761387	18.44809501	-2.690481148
2016	a	52	1	0	21.11339179	21.11339179	0
2016	a	53	0	1	2.824556832	24.00873307	-21.18417624
2016	a	54	0	0	14.48823508	21.52980141	-7.041566329
2016	a	56	0	0	18.35468241	18.35468241	0
2016	a	58	0	0	27.94478658	24.24379726	3.700989319
2016	a	59	1	0	20.7018649	20.90325467	-0.20138977
2016	a	60	0	1	25.68389943	25.68389943	0
2016	a	66	0	0	5.170081102	17.58489315	-12.41481205
2016	a	67	0	0	18.02001269	18.02001269	0
2016	a	68	0	0	14.42893714	22.16363273	-7.734695582
2016	a	69	1	1	22.1795043	24.53251879	-2.353014495
2016	a	70	0	0	16.60350116	22.37499201	-5.771490856
2016	a	71	0	1	9.921593922	9.921593922	0
2016	a	74	0	1	24.63145627	27.74588178	-3.114425512
2016	a	75	1	0	22.24860714	22.14211742	0.106489724
2016	a	78	1	0	26.45097596	26.45097596	0
2016	a	79	1	1	18.99655508	18.99655508	0
