	Plot_Nr	sampling.period	Species	mean_SLA	mean_LDMC	Block	N	F	SD	FD	composition
1	113	8/1/2019	Cb	19.17121016	208.0538072	2	1	1	1	F	Cb
2	113	6/1/2019	Cb	20.83509444	160.7519556	2	1	1	1	F	Cb
3	113	6/1/2018	Cb	22.09862067	178.7466321	2	1	1	1	F	Cb
4	113	8/1/2017	Cb	19.10223068	206.8630365	2	1	1	1	F	Cb
5	113	8/1/2016	Cb	23.69217797	139.018175	2	1	1	1	F	Cb
6	113	8/1/2018	Cb	19.00555674	220.2269404	2	1	1	1	F	Cb
7	114	8/1/2019	Pt	36.04558904	588.3298424	2	0	0	1	F	Pt
8	114	6/1/2019	Pt	36.57168059	302.6143162	2	0	0	1	F	Pt
9	114	6/1/2018	Pt	39.29689748	339.2776663	2	0	0	1	F	Pt
10	114	8/1/2017	Pt	NA	NA	2	0	0	1	F	Pt
11	114	8/1/2016	Pt	38.72120988	281.519488	2	0	0	1	F	Pt
12	114	8/1/2018	Pt	NA	NA	2	0	0	1	F	Pt
13	115	8/1/2019	To	16.74167359	262.7524541	2	1	1	1	F	To
14	115	6/1/2019	To	17.31852149	217.920993	2	1	1	1	F	To
15	115	6/1/2018	To	22.6832628	142.2909064	2	1	1	1	F	To
16	115	8/1/2017	To	21.90462543	199.2803648	2	1	1	1	F	To
17	115	8/1/2016	To	19.91448997	221.0858397	2	1	1	1	F	To
18	115	8/1/2018	To	19.48876611	239.5700187	2	1	1	1	F	To
19	119	8/1/2019	As	19.2052932	244.1130998	2	0	0	1	F	As
20	119	6/1/2019	As	21.97211788	216.4742535	2	0	0	1	F	As
21	119	6/1/2018	As	21.8121587	218.3209933	2	0	0	1	F	As
22	119	8/1/2017	As	18.55330326	219.0989896	2	0	0	1	F	As
23	119	8/1/2016	As	NA	NA	2	0	0	1	F	As
24	119	8/1/2018	As	16.41747315	257.9206008	2	0	0	1	F	As
25	121	8/1/2019	Hp	16.76813351	378.6322835	2	0	1	1	S	Hp
26	121	6/1/2019	Hp	15.75810775	323.3282356	2	0	1	1	S	Hp
27	121	6/1/2018	Hp	13.15658502	358.4083567	2	0	1	1	S	Hp
28	121	8/1/2017	Hp	17.21599831	299.7469285	2	0	1	1	S	Hp
29	121	8/1/2016	Hp	16.1708016	331.8568558	2	0	1	1	S	Hp
30	121	8/1/2018	Hp	15.00592995	330.5327452	2	0	1	1	S	Hp
31	126	8/1/2019	Sp	17.10728444	258.20917	2	0	1	1	S	Sp
32	126	6/1/2019	Sp	20.75657863	180.2746583	2	0	1	1	S	Sp
33	126	6/1/2018	Sp	26.65939289	163.2805624	2	0	1	1	S	Sp
34	126	8/1/2017	Sp	18.10400056	224.5662816	2	0	1	1	S	Sp
35	126	8/1/2016	Sp	21.42874814	222.1076062	2	0	1	1	S	Sp
36	126	8/1/2018	Sp	17.36325931	250.0801136	2	0	1	1	S	Sp
37	129	8/1/2019	Dg	21.45619984	299.1687662	2	0	0	1	F	Dg
38	129	6/1/2019	Dg	29.1154032	269.003125	2	0	0	1	F	Dg
39	129	6/1/2018	Dg	27.685358	323.9830055	2	0	0	1	F	Dg
40	129	8/1/2017	Dg	18.7179203	290.3827803	2	0	0	1	F	Dg
41	129	8/1/2016	Dg	21.91678156	255.4092412	2	0	0	1	F	Dg
42	129	8/1/2018	Dg	22.65779021	290.2751483	2	0	0	1	F	Dg
43	130	8/1/2019	Hl	18.89188776	334.2373016	2	1	0	1	F	Hl
44	130	6/1/2019	Hl	31.78778747	221.0974771	2	1	0	1	F	Hl
45	130	6/1/2018	Hl	38.70019151	221.6508585	2	1	0	1	F	Hl
46	130	8/1/2017	Hl	21.69828286	297.7748153	2	1	0	1	F	Hl
47	130	8/1/2016	Hl	19.22880986	273.4957982	2	1	0	1	F	Hl
48	130	8/1/2018	Hl	20.86304277	314.8277469	2	1	0	1	F	Hl
49	134	8/1/2019	Am	15.13411399	219.1347557	2	0	1	1	S	Am
50	134	6/1/2019	Am	11.87340635	237.9001324	2	0	1	1	S	Am
51	134	6/1/2018	Am	14.89531883	216.7931464	2	0	1	1	S	Am
52	134	8/1/2017	Am	13.2224221	203.1535775	2	0	1	1	S	Am
53	134	8/1/2016	Am	12.633129	212.548354	2	0	1	1	S	Am
54	134	8/1/2018	Am	11.40452007	260.1290067	2	0	1	1	S	Am
55	146	8/1/2019	Ga	36.17412057	161.1777992	2	1	1	1	F	Ga
56	146	6/1/2019	Ga	27.69334495	164.3516683	2	1	1	1	F	Ga
57	146	6/1/2018	Ga	29.44100473	194.7568933	2	1	1	1	F	Ga
58	146	8/1/2017	Ga	19.70775594	184.2579699	2	1	1	1	F	Ga
59	146	8/1/2016	Ga	32.36185383	195.0432885	2	1	1	1	F	Ga
60	146	8/1/2018	Ga	25.82223884	180.7377171	2	1	1	1	F	Ga
61	148	8/1/2019	Be	15.45969239	360.349922	2	0	1	1	S	Be
62	148	6/1/2019	Be	20.64851453	313.2392709	2	0	1	1	S	Be
63	148	6/1/2018	Be	20.33351694	353.7633427	2	0	1	1	S	Be
64	148	8/1/2017	Be	14.64069855	363.1050407	2	0	1	1	S	Be
65	148	8/1/2016	Be	18.2524377	359.5358076	2	0	1	1	S	Be
66	148	8/1/2018	Be	14.03801224	360.1920108	2	0	1	1	S	Be
67	156	8/1/2019	Hs	14.34239971	311.2452268	2	1	0	1	F	Hs
68	156	6/1/2019	Hs	14.92301431	238.9382469	2	1	0	1	F	Hs
69	156	6/1/2018	Hs	15.82761143	281.9907826	2	1	0	1	F	Hs
70	156	8/1/2017	Hs	NA	NA	2	1	0	1	F	Hs
71	156	8/1/2016	Hs	NA	NA	2	1	0	1	F	Hs
72	156	8/1/2018	Hs	16.72423758	275.0191642	2	1	0	1	F	Hs
73	16	8/1/2019	Dc	16.8441127	257.837372	1	1	1	1	S	Dc
74	16	6/1/2019	Dc	14.41488751	246.7212888	1	1	1	1	S	Dc
75	16	6/1/2018	Dc	12.93888753	257.1556113	1	1	1	1	S	Dc
76	16	8/1/2017	Dc	18.22111308	245.7068364	1	1	1	1	S	Dc
77	16	8/1/2016	Dc	16.56569284	217.4797738	1	1	1	1	S	Dc
78	16	8/1/2018	Dc	14.92931853	276.0719487	1	1	1	1	S	Dc
79	164	8/1/2019	Pm	14.32768184	171.0317218	2	0	1	1	S	Pm
80	164	6/1/2019	Pm	14.73283839	166.1914903	2	0	1	1	S	Pm
81	164	6/1/2018	Pm	17.26974973	165.3343658	2	0	1	1	S	Pm
82	164	8/1/2017	Pm	12.02665535	205.5388949	2	0	1	1	S	Pm
83	164	8/1/2016	Pm	21.24098954	155.4971706	2	0	1	1	S	Pm
84	164	8/1/2018	Pm	13.95109959	202.0925492	2	0	1	1	S	Pm
85	167	8/1/2019	Ra	20.76687084	148.1086495	2	0	1	1	F	Ra
86	167	6/1/2019	Ra	18.10106823	157.9165661	2	0	1	1	F	Ra
87	167	6/1/2018	Ra	43.87036195	102.2137324	2	0	1	1	F	Ra
88	167	8/1/2017	Ra	20.1341328	146.1750606	2	0	1	1	F	Ra
89	167	8/1/2016	Ra	NA	NA	2	0	1	1	F	Ra
90	167	8/1/2018	Ra	21.27306899	145.5291403	2	0	1	1	F	Ra
91	169	8/1/2019	Dg	20.55956365	316.1787441	3	0	1	1	F	Dg
92	169	6/1/2019	Dg	22.00577173	343.7830454	3	0	1	1	F	Dg
93	169	6/1/2018	Dg	28.57639412	266.3694003	3	0	1	1	F	Dg
94	169	8/1/2017	Dg	20.7637043	292.0233639	3	0	1	1	F	Dg
95	169	8/1/2016	Dg	20.93922338	274.1345306	3	0	1	1	F	Dg
96	169	8/1/2018	Dg	20.72223008	289.4453172	3	0	1	1	F	Dg
97	17	8/1/2019	Ra	22.18357886	131.6887564	1	1	0	1	F	Ra
98	17	6/1/2019	Ra	19.05841268	126.3149431	1	1	0	1	F	Ra
99	17	6/1/2018	Ra	51.37552324	87.76105115	1	1	0	1	F	Ra
100	17	8/1/2017	Ra	25.58882338	120.8823339	1	1	0	1	F	Ra
101	17	8/1/2016	Ra	23.90651664	125.679128	1	1	0	1	F	Ra
102	17	8/1/2018	Ra	24.13417178	95.40687891	1	1	0	1	F	Ra
103	176	8/1/2019	Dc	20.80832633	246.8979542	3	1	0	1	S	Dc
104	176	6/1/2019	Dc	16.61426416	215.1848347	3	1	0	1	S	Dc
105	176	6/1/2018	Dc	18.37064718	264.9551838	3	1	0	1	S	Dc
106	176	8/1/2017	Dc	15.35012467	258.3012159	3	1	0	1	S	Dc
107	176	8/1/2016	Dc	21.21391318	224.3393054	3	1	0	1	S	Dc
108	176	8/1/2018	Dc	16.53179048	288.0988498	3	1	0	1	S	Dc
109	178	8/1/2019	Pm	19.55801535	171.4511867	3	1	0	1	S	Pm
110	178	6/1/2019	Pm	14.21290185	192.4556038	3	1	0	1	S	Pm
111	178	6/1/2018	Pm	16.19918802	167.9845761	3	1	0	1	S	Pm
112	178	8/1/2017	Pm	13.95940309	195.8055625	3	1	0	1	S	Pm
113	178	8/1/2016	Pm	20.54319408	173.503836	3	1	0	1	S	Pm
114	178	8/1/2018	Pm	13.24707586	204.3363211	3	1	0	1	S	Pm
115	182	8/1/2019	Ga	36.83007721	165.5375444	3	0	1	1	F	Ga
116	182	6/1/2019	Ga	26.31471838	153.4130822	3	0	1	1	F	Ga
117	182	6/1/2018	Ga	29.6592312	190.5364678	3	0	1	1	F	Ga
118	182	8/1/2017	Ga	21.60490115	204.8143383	3	0	1	1	F	Ga
119	182	8/1/2016	Ga	27.07824276	222.8271212	3	0	1	1	F	Ga
120	182	8/1/2018	Ga	30.13245642	184.7558404	3	0	1	1	F	Ga
121	197	8/1/2019	Lp	20.55054906	344.0134447	3	1	1	1	F	Lp
122	197	6/1/2019	Lp	23.22718535	300.771779	3	1	1	1	F	Lp
123	197	6/1/2018	Lp	21.61170217	283.2831732	3	1	1	1	F	Lp
124	197	8/1/2017	Lp	19.93842058	284.0109598	3	1	1	1	F	Lp
125	197	8/1/2016	Lp	21.9732778	263.1397243	3	1	1	1	F	Lp
126	197	8/1/2018	Lp	21.58307439	296.2850133	3	1	1	1	F	Lp
127	198	8/1/2019	Sp	18.74031931	244.058597	3	0	0	1	S	Sp
128	198	6/1/2019	Sp	19.85158558	171.7329303	3	0	0	1	S	Sp
129	198	6/1/2018	Sp	21.35034496	193.5706162	3	0	0	1	S	Sp
130	198	8/1/2017	Sp	16.76024511	240.5179593	3	0	0	1	S	Sp
131	198	8/1/2016	Sp	NA	NA	3	0	0	1	S	Sp
132	198	8/1/2018	Sp	19.4560112	242.2315262	3	0	0	1	S	Sp
133	199	8/1/2019	Fr	18.30720492	305.1754333	3	0	0	1	S	Fr
134	199	6/1/2019	Fr	17.56592693	285.515748	3	0	0	1	S	Fr
135	199	6/1/2018	Fr	19.51668238	288.8182463	3	0	0	1	S	Fr
136	199	8/1/2017	Fr	10.06937387	320.4914341	3	0	0	1	S	Fr
137	199	8/1/2016	Fr	12.33126962	311.37301	3	0	0	1	S	Fr
138	199	8/1/2018	Fr	14.15680341	320.1477988	3	0	0	1	S	Fr
139	20	8/1/2019	Pt	35.59916443	342.0224191	1	1	1	1	F	Pt
140	20	6/1/2019	Pt	31.71480113	391.6949495	1	1	1	1	F	Pt
141	20	6/1/2018	Pt	39.77609493	309.7334994	1	1	1	1	F	Pt
142	20	8/1/2017	Pt	36.02969925	306.8032945	1	1	1	1	F	Pt
143	20	8/1/2016	Pt	35.89425268	299.061031	1	1	1	1	F	Pt
144	20	8/1/2018	Pt	NA	NA	1	1	1	1	F	Pt
145	202	8/1/2019	Cb	18.90305997	209.5504617	3	1	0	1	F	Cb
146	202	6/1/2019	Cb	16.51316392	196.3440066	3	1	0	1	F	Cb
147	202	6/1/2018	Cb	23.68306322	160.3650485	3	1	0	1	F	Cb
148	202	8/1/2017	Cb	17.50635146	233.8360035	3	1	0	1	F	Cb
149	202	8/1/2016	Cb	22.30525712	170.7262316	3	1	0	1	F	Cb
150	202	8/1/2018	Cb	22.26258221	233.5861484	3	1	0	1	F	Cb
151	210	8/1/2019	As	17.9452271	232.8023498	3	1	0	1	F	As
152	210	6/1/2019	As	20.36300116	200.4723558	3	1	0	1	F	As
153	210	6/1/2018	As	21.07550732	227.4603046	3	1	0	1	F	As
154	210	8/1/2017	As	17.33085187	230.3866264	3	1	0	1	F	As
155	210	8/1/2016	As	NA	NA	3	1	0	1	F	As
156	210	8/1/2018	As	16.06014281	232.6302394	3	1	0	1	F	As
157	212	8/1/2019	To	16.3693504	257.6417511	3	0	1	1	F	To
158	212	6/1/2019	To	21.11569893	227.2223184	3	0	1	1	F	To
159	212	6/1/2018	To	24.46984483	172.25416	3	0	1	1	F	To
160	212	8/1/2017	To	18.78554643	228.3490955	3	0	1	1	F	To
161	212	8/1/2016	To	20.96439406	212.083768	3	0	1	1	F	To
162	212	8/1/2018	To	21.12104223	231.8441528	3	0	1	1	F	To
163	216	8/1/2019	Hp	16.66354762	330.5992215	3	1	0	1	S	Hp
164	216	6/1/2019	Hp	18.45685862	383.3661628	3	1	0	1	S	Hp
165	216	6/1/2018	Hp	25.76052227	285.5947986	3	1	0	1	S	Hp
166	216	8/1/2017	Hp	16.68776858	299.752169	3	1	0	1	S	Hp
167	216	8/1/2016	Hp	21.14499142	260.7036044	3	1	0	1	S	Hp
168	216	8/1/2018	Hp	16.55990144	301.2141879	3	1	0	1	S	Hp
169	219	8/1/2019	Hl	19.45734571	333.4163351	3	0	0	1	F	Hl
170	219	6/1/2019	Hl	26.89791153	306.1777204	3	0	0	1	F	Hl
171	219	6/1/2018	Hl	27.798469	290.6329369	3	0	0	1	F	Hl
172	219	8/1/2017	Hl	20.91366146	309.5971578	3	0	0	1	F	Hl
173	219	8/1/2016	Hl	22.80239826	240.4392976	3	0	0	1	F	Hl
174	219	8/1/2018	Hl	24.7924338	296.0377861	3	0	0	1	F	Hl
175	224	8/1/2019	Be	16.88532243	390.2393512	3	1	0	1	S	Be
176	224	6/1/2019	Be	20.34921947	329.6036083	3	1	0	1	S	Be
177	224	6/1/2018	Be	17.2065289	373.5523712	3	1	0	1	S	Be
178	224	8/1/2017	Be	15.75418568	349.30803	3	1	0	1	S	Be
179	224	8/1/2016	Be	20.46090784	274.2146532	3	1	0	1	S	Be
180	224	8/1/2018	Be	16.62611422	324.7712429	3	1	0	1	S	Be
181	229	8/1/2019	Am	12.30316277	255.2150888	3	1	1	1	S	Am
182	229	6/1/2019	Am	11.22528363	226.6086297	3	1	1	1	S	Am
183	229	6/1/2018	Am	21.42792834	197.4247607	3	1	1	1	S	Am
184	229	8/1/2017	Am	13.689779	241.0563805	3	1	1	1	S	Am
185	229	8/1/2016	Am	13.11784506	216.5779546	3	1	1	1	S	Am
186	229	8/1/2018	Am	13.84368624	259.3567805	3	1	1	1	S	Am
187	232	8/1/2019	Pt	32.76820886	316.8440192	3	1	0	1	F	Pt
188	232	6/1/2019	Pt	36.43542983	292.5047086	3	1	0	1	F	Pt
189	232	6/1/2018	Pt	37.42148457	301.8628677	3	1	0	1	F	Pt
190	232	8/1/2017	Pt	35.08687864	316.5263935	3	1	0	1	F	Pt
191	232	8/1/2016	Pt	30.17965222	376.167758	3	1	0	1	F	Pt
192	232	8/1/2018	Pt	36.24163019	400.3564266	3	1	0	1	F	Pt
193	234	8/1/2019	Cj	18.42861766	226.5852766	3	1	1	1	S	Cj
194	234	6/1/2019	Cj	20.53215895	210.6651198	3	1	1	1	S	Cj
195	234	6/1/2018	Cj	32.65441249	176.9548567	3	1	1	1	S	Cj
196	234	8/1/2017	Cj	19.27551145	212.4563522	3	1	1	1	S	Cj
197	234	8/1/2016	Cj	19.65998744	201.0051084	3	1	1	1	S	Cj
198	234	8/1/2018	Cj	23.54210024	213.4439037	3	1	1	1	S	Cj
199	242	8/1/2019	Ao	24.67592475	325.0669698	3	0	0	1	S	Ao
200	242	6/1/2019	Ao	26.25523653	295.4898906	3	0	0	1	S	Ao
201	242	6/1/2018	Ao	32.42510355	254.3858973	3	0	0	1	S	Ao
202	242	8/1/2017	Ao	20.70601898	317.3888837	3	0	0	1	S	Ao
203	242	8/1/2016	Ao	29.17825202	227.3530342	3	0	0	1	S	Ao
204	242	8/1/2018	Ao	22.95605158	312.3391784	3	0	0	1	S	Ao
205	248	8/1/2019	Ra	19.96068539	157.29143	3	1	1	1	F	Ra
206	248	6/1/2019	Ra	26.28056699	123.2965594	3	1	1	1	F	Ra
207	248	6/1/2018	Ra	52.18950387	82.30725637	3	1	1	1	F	Ra
208	248	8/1/2017	Ra	26.4836868	114.1354426	3	1	1	1	F	Ra
209	248	8/1/2016	Ra	26.95115262	124.0538818	3	1	1	1	F	Ra
210	248	8/1/2018	Ra	27.06925238	131.2866505	3	1	1	1	F	Ra
211	250	8/1/2019	Pg	20.12327857	169.2264108	3	0	0	1	S	Pg
212	250	6/1/2019	Pg	20.41871109	193.3366508	3	0	0	1	S	Pg
213	250	6/1/2018	Pg	26.6278433	177.1362382	3	0	0	1	S	Pg
214	250	8/1/2017	Pg	15.40610949	213.4629967	3	0	0	1	S	Pg
215	250	8/1/2016	Pg	28.79032686	132.7228622	3	0	0	1	S	Pg
216	250	8/1/2018	Pg	19.24669656	222.2663716	3	0	0	1	S	Pg
217	251	8/1/2019	Hs	14.19304544	288.3670007	3	1	1	1	F	Hs
218	251	6/1/2019	Hs	15.29215468	261.0259258	3	1	1	1	F	Hs
219	251	6/1/2018	Hs	13.9460264	253.640973	3	1	1	1	F	Hs
220	251	8/1/2017	Hs	NA	NA	3	1	1	1	F	Hs
221	251	8/1/2016	Hs	NA	NA	3	1	1	1	F	Hs
222	251	8/1/2018	Hs	15.16658164	236.1306902	3	1	1	1	F	Hs
223	26	8/1/2019	Hl	17.15855969	342.1002434	1	1	1	1	F	Hl
