"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-5.24178866609412	-0.262446008432515	-1.70966949754439	-3.83708457683073	-7.14320465060329	-5.33046610704288	-7.87693075856881	-10.2538910474696	-5.45724290259083	-5.52718108582287	-3.71640312918357	-4.71341210868044	20.5571473559913	-4.99365091934465	-3.76996637627949	5.57896116342956	-3.94558413022671	-3.80562371783332
"Be"	-6.23865527603087	-5.37228655068245	-5.62667844579981	-3.05067652361992	-7.54758570345269	-5.36222108317318	-4.66883102667337	-4.59187431184558	-5.22507759636375	-6.43216232130151	-0.770275673164222	-11.4981415881698	57.200891064232	-1.79350750234389	-4.18390839039683	58.9331129802594	-3.90818852806584	-7.5186372824216
"Ao"	-6.72502398429975	-0.188825179881048	-6.29295118519631	-1.54989164518395	1.39111300017509	-3.28196619266774	-13.3640146395877	-2.18346954823168	-2.51283921900726	-5.97891227221994	0.835152761728513	-4.60102091940815	-11.6624198287465	-5.02045115579516	0.42699641965904	57.4493725609463	-5.17035958664265	-3.83134470569378
"Dg"	-5.34586113215394	-7.77015518930868	22.3033766446869	-4.78257561124954	-8.35732610886512	-7.20447869047422	-3.86617125114958	-11.0904794697481	-6.4153108620571	-4.21851810706226	-3.69192096917028	-4.89125843386493	-13.4879589275111	-4.27055295465906	-4.68682185969527	24.3808983999187	-6.12750199961152	-5.89127417519725
"Fr"	-9.6216675295514	-15.0061925597718	-14.4575058354268	-7.57107233795091	-3.45979929205914	-9.31179609173837	-7.47669203839388	-9.61946059794075	-4.40677176614688	-5.15330000862252	2.56769861669783	-6.62228250233952	-24.2076080609683	-4.91989808052146	-4.71707917867816	22.3983441080238	-2.02217758514265	-3.5091712910499
"Hl"	-5.1384679484321	-12.6744198712259	-2.19193007876175	-0.273505110447562	-3.42814231152732	-6.94856074009369	-7.0518942292835	-4.27295812999172	-5.81463216340603	-4.47179220981301	-5.70190149412669	-23.474236942148	-2.60262759707176	-5.16497566947882	-11.6742536643834	-2.07078648709125	-3.58919512672671	-7.94357894025748
"Lp"	-6.96164868441926	-4.6807051339012	-41.4818688419342	-7.40970943493526	-9.78828628793275	-2.65253356273386	-3.61583751103099	9.9290879552012	-2.32935365396104	-4.80340154894141	-4.09474135124515	-194.717534043215	-2.79037338234211	-1.66505476793769	1.23876929639062	5.29229979539086	-4.71792589302328	-7.70340025449056
"Pt"	-1.71104732473503	-0.522514540978548	6.87665415925897	-4.69784301655345	-9.65229473404646	-0.458007840709147	-6.60895763728419	-1.05917504151467	-2.50062998454556	-3.3745745767454	-5.55714344679537	-1.65651115506516	2.36125258878162	-0.886517070513064	-2.38972897516889	64.5934278223359	-3.15796181945573	-3.89887438733512
"Am"	-16.7683590365631	-10.0971835654409	1.34064645910872	-7.98751139483825	-13.8858500846553	-11.9018845206859	-16.1234833867219	-17.6972177364578	-6.11421972815026	-4.9855685779709	-9.4631259538176	8.75473806832359	1.81093465009534	-10.7788517084112	-8.83165632588535	140.131485897821	-1.08098410654801	-4.32900671432809
"Cj"	-7.56308176807321	-2.82140405895399	2.18054558827892	-6.90980921465243	-6.09435822638115	-7.40068050502537	-5.32074304006154	-23.7496184387658	-7.75200335974601	-5.0858790178427	-9.46893899763273	2.60586440311719	13.6847546011212	-9.59612571484499	-1.97220419988567	165.639260758922	-6.85938345263943	-3.57309139213267
"Cb"	-6.34731183765968	-9.90006313859959	5.32753045859683	-2.68727177849411	4.59019356837346	1.12980973593361	-6.6430052021083	9.1930822072681	-0.987756830844029	-3.04070641115492	-2.11274099196981	-4.89897588436169	94.5558635448284	-0.54163153375992	6.56016135628772	-106.491903473428	-5.68418084600559	-2.07373659652515
"To"	-4.30992449556476	-9.05777170220196	-4.13226779837711	-6.35637979384295	-11.9015284993736	-3.54560292450691	-5.60540034460511	7.57491430525204	-5.58471469867517	-4.11085685172606	-3.35709925947309	-4.24136592512252	-100.90597137139	-6.44988737185868	-9.66807188607901	16.402438305933	-1.98353683870168	-9.42438804945988
"Dc"	3.8059748010538	1.4377226382224	-41.6775505926842	2.03840324857004	-0.669427493750901	4.11174847454987	4.52311693860129	3.22606525532891	3.14210302324821	0.619230702180902	4.47638375414995	5.14867875622608	1.54364390758045	4.264458764607	-1.41817217867127	57.7237786308023	0.0551809767980213	-0.0434861856814324
"Sp"	-7.32525182087755	-15.5420499806308	-31.1306540929893	17.7705265646027	0.29681031251194	-4.7665186820401	-8.11691014418307	-5.5039262377942	-3.28426166830264	-1.84728710133423	-11.5685984050263	12.2179308156279	3.56091499804222	-4.15092994344455	-3.18117470373391	-437.262765977484	-5.43685414282325	-4.17123223266869
"Pg"	-8.87246687862229	3.48722481086137	-51.4336356486016	-1.59034803677042	-21.4428936060232	-5.83914389461286	-8.70018421430462	-9.3259475683499	-4.26772807854603	-5.21475850662599	-9.23305212248347	-14.0757917782811	34.4103323537187	-9.04783248139237	-6.16527886166287	68.157817109264	-4.09545117569157	-4.04424971815242
"Ra"	-5.51849037468399	-5.39464872857331	-11.9697463494793	-10.5219060792815	-3.77418203172931	-0.885541700236869	-0.075058459121784	-16.5225893975808	-5.57824628029496	-6.11978154480412	-3.80841925045393	-8.59923694859015	0.886319276274752	-3.68788790337971	-5.86872321108785	-0.857030481528518	-5.22257784314769	-4.63247097537102
"Pm"	-9.17658664064199	-2.56596532465321	-20.6182184488544	-16.1816167776051	-4.36797610079289	2.54314293181455	-6.11701559004625	-2.44474395023371	-4.3340816810964	-8.24615270174334	-1.52312870304047	-70.4648040721146	-549.90393873407	0.99330956776945	-11.2731864327917	-42.8466307426194	-4.92345937238071	-7.1278813227304
"Ga"	-8.51122109953766	-0.729447238443894	-5.57897741642099	-5.41928531326012	-8.65943387676453	-2.10335415274536	5.23146899046821	-8.216676697934	-1.75308937663842	0.142132264218135	2.5063444606566	9.22411524351605	-30.3361278925261	-1.39039604249097	5.46195198413714	-136.085342062729	1.05639158875079	-3.06479533187186
