"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-2.14440009141757	-7.61245328805441	-31.1997700942182	-4.8891579240258	-0.973231812575521	-5.04658875209147	-6.42774154726696	-10.6886803385111	-3.71657482282671	-4.20160596978663	-4.63070643001724	-1.80339284022141	-0.00821980527262056	-5.16868466042471	-4.86280577660607	73.6095361896253	-4.34551161388943	-5.58624979005505
"Be"	-4.37572628095464	-5.16005467672377	-4.88036339426087	-8.11903365818991	-5.30954320465555	-2.71010463558088	-3.70642068167268	-4.00873061419513	-4.04702446283861	-6.61516235071987	-4.89397288580102	-11.7492139745252	1.33170227380869	-1.79695356855456	-6.07362361802123	53.0055236476511	-3.06286198923937	-6.50582992063036
"Ao"	-6.13106350502872	-6.24816392960019	-6.57479341550283	-0.729101589072009	-5.91278412999349	-3.8633398014326	-11.7310387717186	-3.21706476032092	-2.01937362226121	-1.91693290406821	-6.02027342463375	-0.777987860858551	-2.42678830904792	-2.41150116506295	2.42132294974924	15.4235897292424	-3.75152761155464	0.650213906157072
"Dg"	-9.5706096319878	-3.1166847698357	-9.89187439708289	-2.72202811378372	-2.69952538379458	-4.99341055708755	-0.936375728093241	-10.4015661818406	-3.41203772738469	-3.85869541252816	-2.43457940989284	0.119486960416186	-2.5564248009979	-3.92411406491723	-2.41754190631111	-93.1706521853521	-3.91317380458639	-1.64685439786365
"Fr"	-4.99425321955836	-15.6835220178264	-24.4006666396687	-7.03830750807009	-1.30883754409154	-1.38533595374721	-11.4444565890678	-5.51676516379485	-3.89326775659571	-2.87272403381801	-5.24196210296916	-2.68862105461934	4.42822406988815	-4.73576998093915	-4.88920167815838	-13.0618110619858	-1.24851041843354	-1.4744253275724
"Hl"	-4.70328838534452	-5.873529243357	-8.65772400642171	-7.91537640521429	-1.39099733322313	-7.49077141388177	-8.99251878798253	-2.01161902004364	-5.74411734132245	-7.2875714371534	-8.1392123268813	-11.7078149195856	-4.53567940311398	-2.8387478276753	-10.1639948742522	50.635480739261	-3.49841783480864	-7.17050550424548
"Lp"	-9.61778431598936	1.25939063819202	8.55414199746335	0.082985206677809	-4.8126266886101	-6.21930326834172	-6.83979859417157	9.58042529015562	-2.40604419765701	-5.05865464758262	-6.41220962883787	-14.9154284580789	9.59418562982301	-4.47852578270489	-6.09466823244033	-5.74667817306564	-4.29613513827712	-4.55752523911876
"Pt"	-5.72126221053433	-0.293538628728601	19.8379909980607	5.08680925374402	1.57166625011782	-2.03564171583187	-5.59539793852059	-1.18987298545219	-1.60914336368005	-3.58766447734515	-5.82502932628915	-3.55387265929067	0.463838537653821	0.123683747505674	3.6895391379467	86.3055573871711	-2.7656159547308	-2.52123381518579
"Am"	-14.8157726024165	-6.34752964504979	-12.8508139949069	-0.0366693046321146	-5.73349802177445	-11.3766885628897	-9.95017268286001	-33.3040182130961	-7.50564356972137	-2.37746293907505	-12.7571237683083	-10.508483219377	-109.370830989867	-4.55231060111617	-5.8803752987903	-13.3243056535978	-8.86793381778241	-2.81793169843523
"Cj"	-1.39297853486159	-5.56541017996976	-3.89677878011895	-11.3403677506814	-14.2530087901265	-7.43924918377586	-4.05196989679392	-17.6331491637915	-6.1429359400406	-5.20604454930064	-11.4624116866762	-6.50206090715437	12.1447273052318	-6.92084814492451	-4.84197367010259	61.1820660226882	-7.3665189969638	-5.13244186977898
"Cb"	-1.83212384748841	-7.48389094847351	-19.7896238906917	-5.00744356132231	4.34765223838666	-3.97172481137224	-0.723187877521013	12.3706804815945	-0.894041082576702	-1.59016784843996	-2.5993141112431	-10.3905938619114	-1.37162469869581	1.15333114574226	-1.1349229203281	31.7988748583326	-4.08265539869658	-0.160760908751208
"To"	-6.05151143280249	9.03712337817449	-11.2265823480654	-3.10358649081161	-5.58253459785689	-4.4470387254557	-7.90312031072335	6.99282023676454	-5.31696216725138	-5.92440819119278	-3.64620555712742	-9.38780901215526	-10.4503664037744	-5.31838621808778	-6.40868767062347	13.091195054769	-2.75346553685542	-5.42633388301819
"Dc"	2.17699974303409	7.79704867708724	8.39798914207783	-6.7588335795654	1.20358467831358	-1.42349046891751	5.37509525036086	2.96334256779279	-0.751276107049055	-3.51273904641038	3.55709440327783	0.913424057665152	-4.47526152776502	1.10795052735506	2.23052500830375	-0.929073841262055	-1.49705745863215	-1.31461178751989
"Sp"	-2.1947676162491	-23.8985010516599	-37.2085976459315	1.31591001157339	-8.54853853681178	-6.16416180074078	-8.86123318900925	11.4193833507721	-2.49501547405314	-6.0224361660743	-10.0413036774257	-9.65062698907848	-1.30008687964678	-2.17635556402708	-9.12467350842419	-222.085259935076	-0.842640542002937	-3.32348508758264
"Pg"	-1.45126413479677	-27.8438665041728	-56.6215908362324	-5.01974195732734	-9.70733635437539	-4.48189170089225	-3.00812909345776	-10.1331753975751	-1.41335306797678	1.1662550749224	-7.93104463235498	8.97433085672897	-5.61550185854914	-2.38085430674379	-1.59318001050108	65.823594270985	-0.599744783267576	3.31693894537227
"Ra"	-1.70775486469912	-4.04872437033868	1.73474910593242	-7.83980583809028	-12.9237723917919	-5.72281744305358	1.22168132627423	-27.5898018851414	-2.45357678428613	-2.4843783089974	2.52167109727952	-4.6363513861887	13.7640922740088	0.147556480102485	-3.61174839530153	1.28848856163686	-2.45583584816542	-7.01771088538747
"Pm"	-6.28970200712069	5.42556388516868	-16.8140962469795	-21.9201481143475	-9.64597468502755	-2.92403141349229	-7.37172851583771	-0.355564612497153	-6.26425395862272	-8.06668547144256	1.21872895015241	-61.4527999651788	-28.1732595482763	-7.38257282778292	-10.0830267475134	10.621450281294	-5.84794360838626	-7.07992410332476
"Ga"	-7.02628495276435	-10.6090768250037	-34.7633649840618	2.09995439942396	-16.5766117698546	-0.553517897245863	0.49294405517084	-8.24371069610844	-0.629301905824499	-2.9657585084967	-0.775062290401648	-1.51448709691292	-9.27698299592022	-0.36839308008422	-1.79187432488078	-153.380749986156	-1.96430742128366	0.152952733624922
