"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-0.770682707657318	-2.55069502012714	2.10006774189636	-1.79797326945462	-13.9309237045053	-6.25370109981159	-4.26092447458646	-5.90578655275797	-2.70192412284859	-2.35738845808591	-4.1212109183795	-0.55365308526462	21.2791874687001	-4.28283379454007	-4.30389082071269	35.3444481999713	-3.51908943776905	-2.98102545269757
"Be"	-7.02718265809968	-5.59546912379835	-7.17852168368448	-6.2112748380112	-10.3474363261892	-5.86531426990801	-4.45586125260231	-6.50661073436278	-5.47562834279064	-7.22576336605028	-7.39683253097645	-3.02998509160084	-7.14033247853764	-4.63085754232345	-4.14749935094987	15.5579136344113	-6.34151910375713	-9.03239319920698
"Ao"	-4.74297094938443	-6.94934773457602	-5.49883233065212	-7.53068424156336	-0.398743073804643	-13.5412114720948	-10.9388565768347	2.53658132907747	-1.80766534266599	-5.43749084047815	-2.81898524528737	-2.07808415342159	-14.808636033828	-5.79048613957338	1.15200627272354	8.04238410423643	-3.80825485216347	-4.99412039477869
"Dg"	-7.12737855151893	-4.17720126929659	5.56144067211168	-4.64085705451838	-2.67452262186658	-3.53697278048976	-4.08984948180397	-7.49760104417027	-4.879478139575	-3.87299398662211	-4.43696916483132	-4.54737155518738	-20.6077666188904	-3.14911711876678	-3.39912736288731	-75.0622457166647	-5.65893826558073	-3.62211985673569
"Fr"	-5.06406480159045	-17.4682742606267	-21.4185350037997	-5.18169156261866	-3.60487458782573	-7.6991029587425	-8.72509750245584	-9.84364564041623	-4.49201332368581	-5.14781787487685	-6.48013923902755	-2.64304420182442	-7.89393117868332	-3.98341998866867	-4.78148395989962	16.5525447081224	-4.22657658407999	-4.37878213039081
"Hl"	-4.08240606544247	-31.4316730537097	-3.9977829920205	-4.40830702485864	-5.22125622016276	-7.86138678063151	-4.46931419996268	-3.60152900277049	-4.29359551571503	-7.08483474059754	-7.62000737915984	-17.1973062962215	-13.0536855277325	-4.37935983062989	-1.96717803709714	240.505042724105	-2.54827353078804	-4.94497618480557
"Lp"	-6.11103694922579	-2.31038796597092	-11.7004848521245	-5.31546182779168	-4.36203149746215	-8.28077704758442	-5.859459845794	9.27711829941751	-4.29028315583139	-7.42704439989153	-4.58478930887907	-27.942178891484	-10.3937289336335	-7.08749901990486	-7.26466411992392	-43.8296284166483	-3.89658113139072	-6.67668563112336
"Pt"	-1.86861962925639	0.647548335808757	15.5486020590017	-3.65780604271258	-11.6600984920212	0.221303057331773	-2.4236771739343	-0.68984284959224	-2.38520584902148	-2.27809660917547	-6.57514011890058	1.29075916789291	19.0292428317	-0.848408972998342	-1.64528877788391	20.1754474308155	-1.94913683001021	-4.40881717061562
"Am"	-12.7155774440827	-2.71081591610439	-14.6177396514824	-5.26785229968738	-5.391633388249	-6.15367846800627	-11.6420080678462	-18.7024407699642	-4.65566310265343	-3.14824414611986	-8.21255197297618	-9.76445400206598	-16.5679819113321	-5.7773134024822	-4.88850103371718	-328.284568098448	-6.51625710216377	-7.50749794567904
"Cj"	-8.98348159136871	-0.614562521099709	1.94273462028845	-4.06583136223489	-11.2866496183199	-8.90945162285459	-4.61708355568414	-14.5676059263878	-5.14366853528014	-3.96831478329268	-8.14319096607811	-5.28935128374799	-2.80054590694971	-3.89072551779425	-3.33773662162035	33.0180397477429	-5.4619240111264	-5.63370379711897
