"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-3.19253357240706	0.97900149964779	-8.0919957628738	-0.220606341558128	-7.76699388752699	-1.58033291155281	-4.72222810503247	-20.6764909263852	-1.69196220083166	-5.13015716048074	-2.92549897841053	-2.3053276278724	21.0656187657191	-5.09951297411517	-31.6159669781348	22.4705869950366	-1.25605667996892	-8.6847634045419
"Be"	-6.58747074686471	-6.30666284598566	-10.1400836238455	-7.0816977024978	-3.92377641961456	-4.48151946604289	-5.09756785748736	-4.69606412550624	-5.27958866466068	-8.51958187478402	-9.58000614258841	-4.52786889299583	5.22468027471215	-0.0477958525251199	-6.5105202642938	3.31024613555122	-6.09163385173986	-7.07910131886247
"Ao"	-4.84484351699932	-8.9149359680493	-5.59958842660851	-1.49729538824263	0.462618010450173	-9.33184289531033	-12.8090838990507	3.22608643054769	-1.1518714610893	-3.48679633369835	-5.39451809120007	-26.060435812976	1.06378348745243	-10.3881698726187	19.3411956295335	170.917413467659	-6.76507767170473	-0.386105520109214
"Dg"	-6.06094296131928	-2.11116626805344	17.7503339904067	-3.64479363401908	-2.64895108021395	-4.87412876733463	-2.68137305982748	-5.10687824993905	-4.941424166729	-5.73241722046019	-3.90975505968197	8.28513193630053	-12.2157599498421	-2.6359706056586	-1.45577010655352	-6.62805973847333	-5.00046547574329	-6.9133324678643
"Fr"	-8.73041586042546	-16.1138091519238	-19.2466756609957	-3.55843537312317	-3.17626997794834	-5.89191719411775	-8.96191337960937	-3.79306411749959	-5.01006778130219	-1.30284216211102	-2.89313485146874	4.45168033740961	20.4442033790445	-3.48515825791187	3.59050404038834	26.6612004218841	0.853729844942952	-3.23672080764078
"Hl"	-6.09152667028647	-6.66092264078653	7.66635521040482	1.68482278077118	-16.1727645654329	-6.62283604781002	-5.55773209524716	-3.97744641474793	-5.08284258722273	-4.21899003772339	-5.88616651180025	-11.320669252745	-3.93354694677561	-4.42844548251011	-1.0349398418926	19.0333431796624	-3.61863610481602	-5.43552195583063
"Lp"	-4.80152498104656	-4.31701455949062	-11.0854859725988	-4.5053613182916	-5.00694986105056	-4.94854692384558	-4.51834038444241	7.62613549895793	-2.30700767318172	-6.42281841941862	-3.9797426238925	-18.0522984073286	-17.7253824630928	-1.53350662420872	7.32977071864274	-67.3977569122488	-2.22547385023551	-3.8017429658802
"Pt"	-5.32687506885293	-3.58571261609934	-14.2757585368472	-22.3879361659034	-0.93618149192164	-0.298006912775761	-0.968564687552751	1.51292616904784	-2.35667175118998	-1.28355809112841	-6.04533138569569	5.36666855384458	-12.1406149871239	-2.04563179513806	0.987082781874073	19.6344859849805	-0.80424363342317	-4.0645183219227
"Am"	-15.3574045722256	-10.6804342773295	6.35463435785053	-2.22001447447061	-19.2548421171113	-8.9660675945972	-1.75652357524459	-12.8234072821713	-7.00822218669784	-0.878965183847041	-9.01359906864062	-3.34598647067138	-9.28784659199362	-4.96476420661707	-15.9056127450969	218.408447489548	-9.31292407633561	-7.24899719779956
"Cj"	-6.4697153950702	5.78120950740707	-2.95733521280008	-13.2210875566915	-11.1641045381074	-7.4196392621901	-8.36472176332681	-10.9753190999617	-6.59788203489686	-10.2574393111909	-11.6398184754512	-10.4991825329009	13.0374231160734	-8.5943952198247	-15.1013054719363	160.723477262536	-4.90757226775717	-4.04152962839856
