"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-4.16097817333982	-1.93214353289912	-6.93131463878547	-6.99515923102405	-2.9217608709373	-6.22735389916947	-5.24168986235692	1.73082361653587	-3.88138437597794	-3.73474757462053	-2.23955594248459	-3.84996156787543	-2.14888272830341	-3.26156801098069	0.362747955627911	-31.2109121198665	-1.60555017969349	-2.8309676914603
"Be"	-2.21779952656386	-0.85133410830463	-1.02935014228228	-1.48975404615246	-1.3285998589763	-4.2258047418686	-0.91242267244678	0.36164598938789	-2.1387097476585	-1.18232691789563	2.89816262150759	-9.22026889179599	53.8971824128027	-1.39964430307375	-0.158105266690801	47.9671779131264	-0.771933776936574	-1.78756628363802
"Ao"	-4.77874637565146	-1.53195810528773	-2.42306243896958	-5.29299599587454	-1.72818314711173	-5.90804536125493	-4.33232721717301	-5.20256934476394	-4.87133197981531	-6.79146636419355	-0.276371849570732	-5.22656648817964	-16.992883768623	-4.65320640557582	-4.65280313867632	15.6312578663955	-4.29860580165039	-5.25844411898225
"Dg"	-1.81275132370594	-5.78210630365681	15.4105542306607	-1.67956491231906	-8.39703211092649	-5.27022281992359	-2.74914468122516	-6.92251806521811	-3.77035335583859	-1.35027937466803	-1.11018271487232	-4.76963357147085	-10.1207462523249	-1.98067073159528	-3.27287256281811	97.4298272079016	-2.91256264169519	-5.21399184816757
"Fr"	-7.15074222533718	-2.81626154031185	7.27189863834467	-5.9406531834026	-3.82555601070182	-7.56844979740469	-3.13861265356543	-3.19259891458044	-4.2448239037814	-4.29262752395076	4.52043566411345	-7.71298685818846	-23.3340405735129	-3.49655619906558	-2.2609981699693	-19.3825727440423	-3.27281491355305	-3.49086510633833
"Hl"	-4.87412488647726	-6.05761302516745	-5.58953788368545	-3.64210427212855	-3.9213235436878	-6.47042270201092	-3.57107516173347	-5.03498034281378	-4.58578843264989	-2.12153488139099	-3.14489766444139	-15.9262977109926	-1.07296274998109	-5.5306341516276	-10.2404328629157	-10.8309582054308	-3.89100082629534	-6.94270318307731
"Lp"	-1.14422384806234	-3.28126800156534	-43.0242949145818	-4.15387171451955	-4.07495223366654	1.23434446147642	0.600687492904437	1.86252518879505	-0.815711119633363	-0.326457819413581	-0.572748906806312	-190.753882333499	-4.26297658644969	2.40657013797353	3.28698746937915	43.5257341200223	-1.60791534948153	-4.63474735122254
"Pt"	-2.78877123110574	-4.84829322196459	-9.78986726655991	-7.62659246039291	-12.0927862792837	-5.22694348964141	-6.40003403433849	-2.73136813845668	-3.16869190822958	-3.22853778729868	-3.58582989643121	-4.48035402040038	2.35892260451847	-3.23598550956559	-5.811213558361	18.8899102623883	-3.81853201972387	-5.16446962109264
"Am"	-7.15015153841311	-7.22134390298629	13.6588570863595	-8.66111154951779	-14.8231274929698	-8.55659271562421	-6.71460307689042	-8.16160328327684	-4.54786692986106	-5.60914064914888	-6.06975045080338	8.28062166966372	-18.2113549344682	-9.66910447103271	-7.79923882584997	-75.309350916051	2.71435788051293	-2.34869792805905
"Cj"	-6.88480117399163	-2.74440262626472	3.38572532602341	-2.73125849314052	-1.99415109588287	-5.0635888884501	-4.84428517214341	-9.1879496329304	-5.64315658394792	-2.55252028320334	-3.13011434481945	3.20215892235176	-5.31972767495792	-6.43224603667636	-2.36867091954423	31.0416608631221	-4.17384198489871	-6.38528618676187
"Cb"	1.64106625153912	-1.18216370581903	14.2107851474804	0.0984136756280631	5.8306958610234	0.580682375881002	-3.74480015563327	-0.242960083945476	-0.491038993082099	-0.174339041464743	0.674019525887048	-1.04104509443919	96.8128228802781	-0.421812087345801	5.26207028064137	-108.418827141315	-3.18112147620188	0.0101084661093391
"To"	-0.981223594192103	-4.73225992926904	-3.35963512152845	-4.69618757124355	-5.4063473110016	-8.03266000081929	-3.94579194351086	-3.31441724410322	-4.22281742078076	-3.25479220235135	-3.38838781109876	-1.5899082502008	-104.788763432428	-4.57240808959102	-8.40017362996972	2.73188010326571	-3.59939559348576	-4.81793639708305
"Dc"	-1.92906412084691	-2.75676697263824	-44.1800074531281	-0.469364522613001	-5.25663751514056	-0.834131025184323	-3.38015158297173	-6.93266051756002	-1.00788850576042	0.853678884847682	-1.74692602710506	1.31712098932682	0.873752904054116	-0.622304610827405	-5.20884629490381	53.2215995622998	0.0107377437588672	-0.203665445070299
"Sp"	-6.64394410500666	-9.43858928443049	-27.0945420160377	8.89041225940875	1.58963566529051	-4.48840255552321	-0.161990500657107	-14.2255483854489	-2.14153720625155	0.608313464716555	-2.30781853058496	10.0255507925792	-1.7437491629582	-4.08825499088625	-0.759747893932382	-155.408736656552	-6.17577778868829	-2.41224420763176
"Pg"	-3.32046865414343	-0.173473591221924	3.22615328632005	-0.184711549523906	-16.1721173160352	-7.52465256442179	-4.93239429566604	0.198749158783758	-5.48631066221122	-4.72651695891028	-3.57067793260146	-22.4654422885275	42.8581050514528	-6.08425453617418	-4.873920104403	1.85662952401373	-2.45512237500722	-7.60588919733156
