"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-1.06358959866327	-9.28215081252101	-36.4214152354593	-8.04723257821911	3.24821196709047	-5.94347654421806	-3.79250065105507	1.2960343254944	-2.14071629621382	-2.40917245858428	-3.15385924331825	-0.9399422994164	-22.7142498895673	-3.43660175206076	-0.730091444698677	36.8196629063292	-2.00547766335621	-4.61159376368203
"Be"	-0.354870531487635	-0.639102234345946	-0.283035090743343	-6.55811118072244	0.909442639820838	-1.5736882942763	0.0499876725539086	0.944789687038344	-0.960656614133353	-1.36532694731399	-1.2255345911292	-9.47134127815139	-1.97200637762069	-1.40309036928443	-2.0478204943152	42.0395885805181	0.0733927618898989	-0.774758921846775
"Ao"	-4.18478589638042	-7.59129685500687	-2.7049046692761	-4.47220593976259	-9.03208027728031	-6.48941897001979	-2.69935134930398	-6.23616455685318	-4.37786638306927	-2.72948699604182	-7.13179803593299	-1.40353342963003	-7.75725224892436	-2.0442564148436	-2.65847660858612	-26.3945249653085	-2.87977382656238	-0.776885507131395
"Dg"	-6.0374998235398	-1.12863588418383	-16.7846968111091	0.380982585146762	-2.73923138585595	-3.05915468653692	0.180650841831174	-6.23360477731061	-0.767080221166183	-0.990456680133934	0.14715884440512	0.24111182281027	0.810787874188368	-1.63423184185345	-1.00359260943395	-20.1217233773691	-0.698234446670062	-0.969572070833964
"Fr"	-2.52332791534414	-3.49359099836639	-2.6712621658972	-5.40788835352178	-1.67459426273423	0.35801034058647	-7.1063772042394	0.910096519565451	-3.73131989423022	-2.01205154914625	-3.28922505555355	-3.77932541046828	5.3017915573435	-3.31242809948327	-2.43312066944952	-54.8427279140519	-2.49914774684394	-1.45611914286083
"Hl"	-4.43894532338968	0.743277602701464	-12.0553318113454	-11.2839755668953	-1.88417856538361	-7.012633375799	-5.5116997204325	-2.77364123286569	-4.51527361056631	-4.93731410873138	-5.582208497196	-4.15987568843022	-3.00601455602331	-3.20440630982407	-8.73017407278449	41.8753090209215	-3.80022353437727	-6.16962974706531
"Lp"	-3.80035947963244	2.65882777052788	7.01171592481582	3.33882292709352	0.900707365656109	-2.33242524413144	-2.62327359023614	1.51386252374947	-0.892401663329332	-0.581710918054788	-2.89021718439903	-10.9517767483632	8.12158242571543	-0.406900876793682	-4.04645005945179	32.4867561515658	-1.18612459473537	-1.48887233585075
"Pt"	-6.79898611690505	-4.61931730971465	3.17146957224183	2.15805980990455	-0.868825295119401	-6.80457736476413	-5.38647433557489	-2.86206608239421	-2.27720528736407	-3.44162768789843	-3.853715775925	-6.37771552462589	0.461508553390668	-2.22578469154685	0.268054554754585	40.6020398272235	-3.42618615499895	-3.78682904894331
"Am"	-5.19756510426651	-3.47168998259517	-0.532603367656105	-0.710269459311653	-6.67077543008891	-8.03139675782799	-0.541292373028565	-23.7684037599151	-5.93929077143217	-3.00103501025304	-9.36374826529404	-10.9825996180369	-129.393120574431	-3.44256336373768	-4.84795779875492	-228.765142467469	-5.07259183072148	-0.837622912166183
"Cj"	-0.714697940780014	-5.48840874728048	-2.69159904237447	-7.16181702916951	-10.1528016596283	-5.10215756720059	-3.57551202887579	-3.07148035795615	-4.03408916424251	-2.67268581466127	-5.12358703386288	-5.90576638791981	-6.85975497084734	-3.75696846675588	-5.23844038976115	-73.4155338731115	-4.68097752922308	-7.94463666440818
