"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	0.310127785096981	-4.22039254459375	-3.12157739934472	-4.95604792364793	-9.7094799248393	-7.15058889193819	-1.62568357837457	6.07892811124753	-1.1260655962357	-0.564954946883562	-2.64436373168052	0.309797455540392	-1.42684261559459	-2.55075088617612	-0.17117648880529	-1.44542508332484	-1.17905548723584	-2.00636942632455
"Be"	-3.00632690863268	-1.07451668142053	-2.58119338016695	-4.65035236054374	-4.12845048171277	-4.72889792860343	-0.699452898375719	-1.55309043312931	-2.38926049408539	-1.9759279626444	-3.72839423630464	-0.752112395227007	-10.444041129967	-4.23699434305331	-0.121696227243843	4.59197856727831	-3.20526435262786	-3.3013222004234
"Ao"	-2.79669334073613	-8.2924806599827	-1.62894358442539	-11.2737885922539	-3.51803922109147	-16.167290640682	-1.90716915442007	-0.482518467454798	-4.16615810347405	-6.25004493245176	-3.93050985658661	-2.70362972219307	-20.1390999737045	-5.42324138935403	-3.92779328561182	-33.7757305903144	-2.93650106717121	-6.42121980806715
"Dg"	-3.59426874307093	-2.18915238364472	-1.33138174191453	-1.5378463555879	-2.71422862392794	-1.60271690993913	-2.97282291187955	-3.32963963964033	-2.2345206333565	-1.00475525422788	-1.85523091053336	-4.42574669279329	-17.2405539437042	-0.859234895702996	-1.98517806601015	-2.01331690868173	-2.44399890766439	-2.944837529706
"Fr"	-2.59313949737624	-5.2783432411667	0.310869469971792	-3.55127240807034	-3.97063130646841	-5.95575666440882	-4.38701811762739	-3.41678395705592	-4.33006546132033	-4.2871453902051	-4.52740219161194	-3.73374855767336	-7.02036369122798	-2.56007810721279	-2.32540295119076	-25.2283721439437	-5.47721391249039	-4.36047594567925
"Hl"	-3.81806300348762	-24.8148662076512	-7.3953907969442	-7.77690618653963	-5.71443745232324	-7.38324874254874	-0.988495132412652	-4.36355121559254	-3.06475178495889	-4.73457741217552	-5.06300354947454	-9.64936706506609	-11.5240206806418	-4.74501831277867	-0.533357235629474	231.744871005765	-2.85007923035667	-3.94410042762541
"Lp"	-0.293612112868865	-0.910950833635061	-13.242910924772	-2.05962410737597	1.35130255680406	-4.39389902337414	-1.64293484185857	1.21055553301136	-2.77664062150372	-2.9501006703637	-1.06279686444023	-23.9785271817683	-11.8663321377411	-3.01587411399365	-5.21644594693538	-5.59619409201685	-0.786570587848974	-3.60803272785534
"Pt"	-2.9463435356271	-3.67823034517729	-1.11791936681719	-6.58655548655205	-14.1005900372585	-4.54763259160049	-2.21475357098861	-2.36203594653426	-3.05326777270549	-2.13205981972875	-4.60382656853643	-1.53308369744231	19.0269128474368	-3.19787741205086	-5.06677336107602	-25.5280701291322	-2.60970703027835	-5.67441240437314
"Am"	-3.09736994593265	0.165023746350232	-2.29952902423166	-5.94145245436692	-6.32891079656347	-2.80838666294457	-2.23312775801479	-9.16682631678325	-3.08931030436423	-3.77181621729784	-4.81917646996196	-10.2385704007258	-36.5902714958956	-4.66756616510371	-3.8560835336818	-543.72540491232	-2.72091511510284	-5.52718915940999
"Cj"	-8.30520099728713	-0.537561088410431	3.14791435803293	0.112719359277019	-7.18644248782161	-6.57236000627932	-4.14062568776601	-0.00593712055246698	-3.03482175948205	-1.43495604865332	-1.80436631326483	-4.69305676451342	-21.8050281830288	-0.726845839625614	-3.73420334127891	-101.579560148057	-2.77638254338567	-8.44589859174816
"Cb"	-2.02444399962894	0.46517391384261	3.78294672407625	0.03410022105093	-14.1568486844836	-0.302330723198184	-1.55253496109242	-0.342418113666188	-1.52636832846899	0.757319066634053	-0.593187690425742	-3.65888861800484	0.00834310754429113	-0.459910888715826	-3.1595825752249	-14.3760442615822	-0.46615061483811	-3.5719185679767
"To"	-0.613248013791984	-0.65513312525839	-10.2069971457858	-2.29895102947559	-4.19702008864793	-6.80371140157428	-1.07658925911228	1.88199988611565	-3.2552917714041	-2.14737651009883	-3.10845345230428	1.14042005020626	-10.4326232064676	-2.28652694361416	-1.67793417985458	33.2459674116401	-2.78720687628336	-0.906869498596971
"Dc"	-3.79153020599364	-2.97242299925929	-1.25435281620774	-3.6204674446578	-2.89432687450772	-20.2937209325442	-2.88546726513401	-0.128893571506736	-3.48866579660435	-1.48188192522535	-3.03829600044197	5.07042229726597	-2.19291598040839	-3.25472884473079	-2.8830382514119	-17.6557251209449	-3.75391921942563	-10.1516508818862
"Sp"	-5.80711733314223	-0.154047217378348	4.80447533041499	-11.3497319056986	-2.40378914935219	-16.0663941036686	-7.42185603446832	-4.22562766185161	-8.65177889009848	-5.66472761339054	-3.05602703339017	8.08689567281945	-35.972015344392	-7.1616231275946	-6.28585340705283	-110.468325594006	-7.12802742030256	-8.48227004403423
