"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-2.11172307965276	-0.690696024818816	-13.3136409041149	-3.37868099575145	-3.54555010786101	-2.47722070367941	-2.08698720882058	-8.69177626237974	-0.116103674218761	-3.33772364927839	-1.44865179171155	-1.44187708706739	-1.64041131857554	-3.36743006575122	-27.4832526462274	-14.3192862882595	1.08397727056429	-7.71010737816888
"Be"	-2.56661499739771	-1.78571040360784	-5.54275532032801	-5.52077522503034	2.29520942486183	-3.3451031247383	-1.34115950326077	0.25745617572723	-2.19322081595542	-3.26974647137814	-5.91156784791659	-2.249996196622	1.92097162328277	0.346067346745018	-2.48471714058777	-7.65568893158177	-2.9553791006106	-1.34803032007889
"Ao"	-2.89856590835103	-10.258068893456	-1.72969968038178	-5.24039973893322	-2.65667813683665	-11.9579220638975	-3.77739647663603	0.206986634015426	-3.51036422189736	-4.29935042567196	-6.50604270249932	-26.6859813817475	-4.266680452424	-10.0209251223994	14.2613960711981	129.099298773108	-5.89332388671247	-1.81320493339768
"Dg"	-2.52783315287128	-0.123117382401574	10.8575115763805	-0.541782935088599	-2.68865708227531	-2.939872896784	-1.56434648990306	-0.938916845409099	-2.2964666605105	-2.86417848806596	-1.328016805384	8.40675679869462	-8.84854727465587	-0.346088382594823	-0.0418208096763631	66.4208690695096	-1.78552611782696	-6.23605014083461
"Fr"	-6.25949055621125	-3.92387813246384	2.48272881277579	-1.92801621857486	-3.54202669659102	-4.14857089978407	-4.62383399478092	2.63379756586072	-4.84811991893671	-0.44216967743926	-0.940397804053124	3.36097598156067	21.3177708664998	-2.06181637645599	6.0465850490972	-15.119716430182	-0.396907483467448	-3.21841462292922
"Hl"	-5.82718360833162	-0.0441157947280623	4.26874740548112	-1.68377638090981	-16.6659457975934	-6.14469800972724	-2.07691302769714	-4.73946862756999	-3.85399885646659	-1.86873270930137	-3.32916268211496	-3.77273002158961	-2.40388209968494	-4.79410396465888	0.398880959575065	10.2731714613229	-3.92044180438465	-4.43464619865047
"Lp"	1.01589985531036	-2.91757742715477	-12.6279120452463	-1.24952359787589	0.706384193215646	-1.0616688996353	-0.301815380506981	-0.440427267448225	-0.793365138854046	-1.94587468989079	-0.457750179453659	-14.088646697613	-19.1979856672003	2.53811828170249	9.37798889163127	-29.1643225876174	0.884536693306243	-0.733090062612186
"Pt"	-6.40459897522364	-7.91149129708538	-30.9422799626661	-25.3166856097429	-3.37667303715886	-5.06694256170802	-0.759641084607053	-0.159266927894176	-3.024733674874	-1.13752130168169	-4.07401783533153	2.54282568850935	-12.1429449713871	-4.39510023419058	-2.43440180131804	-26.0690315749672	-1.46481383369131	-5.33011355568022
"Am"	-5.7391970740756	-7.80459461487485	18.6728449851013	-2.89361462915015	-20.1921195254258	-5.6207757895355	7.65235673458685	-3.28779282899034	-5.44186938840864	-1.50253725502502	-5.6202235656264	-3.82010286933125	-29.3101361765571	-3.85501696923858	-14.8731952450616	2.9676106756763	-5.51758208927468	-5.26868841153052
"Cj"	-5.79143480098862	5.85821094009635	-1.7521554750556	-9.04253683517956	-7.06389740760916	-5.08254764561482	-7.88826389540868	3.58634970587372	-4.48903525909877	-7.72408057655156	-5.30099382263787	-9.90288801366631	-5.96705916000576	-5.43051554165607	-15.4977721915949	26.1258773667368	-2.22203080001645	-6.85372442302776
